# In fact, extracted from Gezerlis & Carlson PRC 81, 025803 (2010)
# kF    Delta/EF   error  E/EFG   error 
0.076   0.175      0.083  0.728   0.037
0.152   0.271      0.021  0.546   0.034
0.304   0.256      0.016  0.428   0.030
#0.456   0.255      0.016  
#0.608   0.222      0.013  
