# Calculation by Kai Hebeler with chiral NN forces with SRG and leading 3N forces. 
# results in neutron matter from Kai Hebeler PRL 105, 161102 (2010)
#n[fm^-3]	P_low[MeV fm^-3]
0.04  	0.121128
0.06 	0.244282
0.08	0.423066
0.10    0.662499
0.12	0.974225
0.14	1.3615
0.16	1.83754
0.18	2.40596
0.20	3.0706
