# FM(UIX) + sum, v_ij*v_jk+perm, v(r)=exp(-2*mu*r)
#V0    mu      rho       E
280    300     0.04    6.652 0.012
280    300     0.08    9.865 0.014
280    300     0.12   12.818 0.014
280    300     0.16   16.010 0.016
280    300     0.20   19.495 0.021
280    300     0.24   23.455 0.026
280    300     0.32   32.691 0.039
280    300     0.40   44.131 0.053
280    300     0.48   57.736 0.077
