# From A. Fabrocini, S. Fantoni, A.Y. Illarionov, and K.E. Schmidt, Nuc. Phys. A 803, 137 (2008).
# kF  Delta   mu      m*/m 
# fm-1 MeV    MeV
0.10  0.0719  0.1780  0.9994
0.20  0.3568  0.6615  0.9960
0.30  0.7986  1.4771  0.9897
0.40  1.3188  2.6628  0.9811
0.50  1.8359  4.2509  0.9708
0.60  2.2719  6.2696  0.9589
0.70  2.5576  8.7478  0.9452
0.80  2.6391  11.721  0.9296
0.90  2.4850  15.239  0.9120
1.00  2.0963  19.379  0.8926
1.10  1.5209  24.254  0.8716
1.20  0.8713  30.030  0.8496
1.30  0.3247  36.907  0.8270
