# From Gezerlis & Carlson PRC 81, 025803 (2010)
# kF   Delta/EF  error   E/EFG   error 
0.054  0.075     0.020   0.798   0.005
0.135  0.242     0.020   0.665   0.010
0.270  0.274     0.020   0.593   0.005
0.405  0.224     0.018   0.561   0.005
0.540  0.218     0.025   0.546   0.005

