# From A. Fabrocini, S. Fantoni, A.Y. Illarionov, and K.E. Schmidt, Nuc. Phys. A 803, 137 (2008).
# kF    Delta    mu      m*/m 
# fm-1  MeV      MeV
0.1001  0.1379   0.1204  0.9787
0.2002  0.5104   0.4808  0.9470
0.3006  1.0291   1.0709  0.9023
0.4011  1.5861   1.8602  0.8409
0.5017  2.0471   2.8082  0.7533
0.6022  2.2487   3.8527  0.6146
0.7020  1.9257   4.9220  0.3997
0.8004  0.7098   5.9532  0.2476
