# FM(UIX) + sum, v_ij*v_jk+perm, v(r)=exp(-2*mu*r)
#V0    mu      rho       E
1.7    150     0.08    9.895 0.012
1.7    150     0.12   12.904 0.012
1.7    150     0.16   16.081 0.013
1.7    150     0.20   19.627 0.019
1.7    150     0.24   23.528 0.026
1.7    150     0.32   32.677 0.036
1.7    150     0.40   43.702 0.048
1.7    150     0.48   56.603 0.079
