#    rho            V(S=0,I=0)     V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total         FFG           E_total

   0.100000E-01   0.132814E+00  -0.223323E+01  -0.508753E+01   0.142849E-01  -0.717366E+01   0.348172E+01  -0.369194E+01
   0.500000E-01   0.105674E+01  -0.731275E+01  -0.124931E+02  -0.702644E-01  -0.188194E+02   0.101806E+02  -0.863880E+01
   0.750000E-01   0.178941E+01  -0.963160E+01  -0.155826E+02  -0.742722E-01  -0.234991E+02   0.133404E+02  -0.101587E+02
   0.100000E+00   0.258020E+01  -0.117465E+02  -0.188262E+02  -0.699580E-01  -0.280625E+02   0.161607E+02  -0.119018E+02
   0.125000E+00   0.343077E+01  -0.136333E+02  -0.216199E+02   0.310756E-01  -0.317914E+02   0.187528E+02  -0.130386E+02
   0.150000E+00   0.433214E+01  -0.153251E+02  -0.241874E+02   0.227655E+00  -0.349527E+02   0.211765E+02  -0.137762E+02
   0.175000E+00   0.526748E+01  -0.168365E+02  -0.265749E+02   0.514156E+00  -0.376298E+02   0.234685E+02  -0.141612E+02
   0.200000E+00   0.622907E+01  -0.181842E+02  -0.288343E+02   0.904916E+00  -0.398845E+02   0.256535E+02  -0.142310E+02
   0.250000E+00   0.822469E+01  -0.204513E+02  -0.330921E+02   0.202662E+01  -0.432921E+02   0.297683E+02  -0.135238E+02
   0.300000E+00   0.102480E+02  -0.222028E+02  -0.370985E+02   0.356669E+01  -0.454867E+02   0.336156E+02  -0.118711E+02
   0.350000E+00   0.122002E+02  -0.234627E+02  -0.410117E+02   0.542221E+01  -0.468521E+02   0.372540E+02  -0.959812E+01
   0.400000E+00   0.139940E+02  -0.242746E+02  -0.449783E+02   0.753214E+01  -0.477268E+02   0.407224E+02  -0.700434E+01
