#      rho         V(S=0,I=0)     V(S=0,I=1)     V(S=1,I=0)     V(S=1,I=1)     V_Total           FFG          E_total

   0.100000E-01   0.132897E+00  -0.220574E+01  -0.501665E+01   0.124375E-01  -0.707706E+01   0.348172E+01  -0.359534E+01
   0.500000E-01   0.105811E+01  -0.723874E+01  -0.123929E+02  -0.926644E-01  -0.186662E+02   0.101806E+02  -0.848563E+01
   0.750000E-01   0.179228E+01  -0.953696E+01  -0.154685E+02  -0.114542E+00  -0.233277E+02   0.133404E+02  -0.998732E+01
   0.100000E+00   0.258507E+01  -0.116332E+02  -0.186984E+02  -0.132220E+00  -0.278788E+02   0.161607E+02  -0.117181E+02
   0.125000E+00   0.343785E+01  -0.135024E+02  -0.214855E+02  -0.554188E-01  -0.316055E+02   0.187528E+02  -0.128527E+02
   0.150000E+00   0.434196E+01  -0.151774E+02  -0.240491E+02   0.114170E+00  -0.347704E+02   0.211765E+02  -0.135939E+02
   0.175000E+00   0.528030E+01  -0.166726E+02  -0.264353E+02   0.371647E+00  -0.374560E+02   0.234685E+02  -0.139875E+02
   0.200000E+00   0.624546E+01  -0.180048E+02  -0.286951E+02   0.731227E+00  -0.397232E+02   0.256535E+02  -0.140697E+02
   0.250000E+00   0.824812E+01  -0.202441E+02  -0.329654E+02   0.178298E+01  -0.431784E+02   0.297683E+02  -0.134101E+02
   0.300000E+00   0.102798E+02  -0.219704E+02  -0.369907E+02   0.324375E+01  -0.454375E+02   0.336156E+02  -0.118219E+02
   0.350000E+00   0.122403E+02  -0.232085E+02  -0.409339E+02   0.500936E+01  -0.468928E+02   0.372540E+02  -0.963884E+01
   0.400000E+00   0.140416E+02  -0.240016E+02  -0.449475E+02   0.701497E+01  -0.478926E+02   0.407224E+02  -0.717014E+01
