#      rho          V(S=0,I=0)     V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total         FFG           E_total

   0.100000E-01   0.132897E+00  -0.220627E+01  -0.502029E+01   0.125333E-01  -0.708114E+01   0.348172E+01  -0.359942E+01
   0.500000E-01   0.105807E+01  -0.724072E+01  -0.124001E+02  -0.917931E-01  -0.186745E+02   0.101806E+02  -0.849391E+01
   0.750000E-01   0.179222E+01  -0.953954E+01  -0.154765E+02  -0.112735E+00  -0.233365E+02   0.133404E+02  -0.999615E+01
   0.100000E+00   0.258496E+01  -0.116362E+02  -0.187073E+02  -0.129322E+00  -0.278878E+02   0.161607E+02  -0.117271E+02
   0.125000E+00   0.343767E+01  -0.135058E+02  -0.214948E+02  -0.513166E-01  -0.316143E+02   0.187528E+02  -0.128614E+02
   0.150000E+00   0.434169E+01  -0.151812E+02  -0.240585E+02   0.119449E+00  -0.347786E+02   0.211765E+02  -0.136020E+02
   0.175000E+00   0.527995E+01  -0.166766E+02  -0.264447E+02   0.378435E+00  -0.374630E+02   0.234685E+02  -0.139944E+02
   0.200000E+00   0.624502E+01  -0.180091E+02  -0.287047E+02   0.739463E+00  -0.397294E+02   0.256535E+02  -0.140759E+02
   0.250000E+00   0.824750E+01  -0.202486E+02  -0.329737E+02   0.179483E+01  -0.431800E+02   0.297683E+02  -0.134117E+02
   0.300000E+00   0.102790E+02  -0.219749E+02  -0.369974E+02   0.325973E+01  -0.454336E+02   0.336156E+02  -0.118179E+02
   0.350000E+00   0.122394E+02  -0.232128E+02  -0.409383E+02   0.502983E+01  -0.468819E+02   0.372540E+02  -0.962792E+01
   0.400000E+00   0.140407E+02  -0.240054E+02  -0.449479E+02   0.704125E+01  -0.478714E+02   0.407224E+02  -0.714897E+01
