#     rho          V(S=0,I=0)      V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total          FFG          E_total

   0.100000E-01   0.131015E+00  -0.234748E+01  -0.527113E+01   0.540715E-02  -0.748219E+01   0.348172E+01  -0.400047E+01
   0.500000E-01   0.105230E+01  -0.760695E+01  -0.127437E+02  -0.119145E+00  -0.194175E+02   0.101806E+02  -0.923688E+01
   0.750000E-01   0.179202E+01  -0.996658E+01  -0.159289E+02  -0.155393E+00  -0.242589E+02   0.133404E+02  -0.109185E+02
   0.100000E+00   0.260203E+01  -0.121133E+02  -0.189445E+02  -0.141450E+00  -0.285972E+02   0.161607E+02  -0.124365E+02
   0.125000E+00   0.348272E+01  -0.140311E+02  -0.217432E+02  -0.477267E-01  -0.323394E+02   0.187528E+02  -0.135865E+02
   0.150000E+00   0.442982E+01  -0.157465E+02  -0.243092E+02   0.133874E+00  -0.354920E+02   0.211765E+02  -0.143154E+02
   0.175000E+00   0.542689E+01  -0.172872E+02  -0.267756E+02   0.398796E+00  -0.382371E+02   0.234685E+02  -0.147686E+02
   0.200000E+00   0.647556E+01  -0.186523E+02  -0.290114E+02   0.794261E+00  -0.403939E+02   0.256535E+02  -0.147404E+02
   0.250000E+00   0.873164E+01  -0.209332E+02  -0.331129E+02   0.193985E+01  -0.433747E+02   0.297683E+02  -0.136064E+02
   0.300000E+00   0.111565E+02  -0.226382E+02  -0.367865E+02   0.350171E+01  -0.447665E+02   0.336156E+02  -0.111509E+02
   0.350000E+00   0.136902E+02  -0.237865E+02  -0.402027E+02   0.538284E+01  -0.449162E+02   0.372540E+02  -0.766222E+01
   0.400000E+00   0.162997E+02  -0.244088E+02  -0.433856E+02   0.757658E+01  -0.439181E+02   0.407224E+02  -0.319567E+01
