#      rho         V(S=0,I=0)      V(S=0,I=1)    V(S=1,I=0)      V(S=1,I=1)      V_Total         FFG          E_total

   0.100000E-01   0.132088E+00  -0.229497E+01  -0.524202E+01   0.720297E-02  -0.739770E+01   0.348172E+01  -0.391599E+01
   0.500000E-01   0.106460E+01  -0.753139E+01  -0.130580E+02  -0.113340E+00  -0.196381E+02   0.101806E+02  -0.945753E+01
   0.750000E-01   0.181070E+01  -0.998147E+01  -0.166483E+02  -0.157872E+00  -0.249770E+02   0.133404E+02  -0.116366E+02
   0.100000E+00   0.262481E+01  -0.122212E+02  -0.201429E+02  -0.170307E+00  -0.299096E+02   0.161607E+02  -0.137489E+02
   0.125000E+00   0.350675E+01  -0.142638E+02  -0.234158E+02  -0.106000E+00  -0.342788E+02   0.187528E+02  -0.155260E+02
   0.150000E+00   0.445083E+01  -0.161330E+02  -0.265209E+02   0.427585E-01  -0.381603E+02   0.211765E+02  -0.169838E+02
   0.175000E+00   0.544183E+01  -0.178309E+02  -0.294712E+02   0.272835E+00  -0.415874E+02   0.234685E+02  -0.181189E+02
   0.200000E+00   0.647627E+01  -0.193997E+02  -0.323817E+02   0.593667E+00  -0.447114E+02   0.256535E+02  -0.190579E+02
   0.250000E+00   0.868221E+01  -0.221790E+02  -0.380822E+02   0.154345E+01  -0.500356E+02   0.297683E+02  -0.202673E+02
   0.300000E+00   0.110272E+02  -0.245304E+02  -0.437447E+02   0.285246E+01  -0.543954E+02   0.336156E+02  -0.207798E+02
   0.350000E+00   0.134517E+02  -0.264352E+02  -0.493905E+02   0.442512E+01  -0.579489E+02   0.372540E+02  -0.206949E+02
   0.400000E+00   0.159110E+02  -0.280110E+02  -0.555050E+02   0.616362E+01  -0.614413E+02   0.407224E+02  -0.207189E+02
