 #      rho         V(S=0,I=0)      V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)     V_Total        FFG           E_total

    0.50000E-01    0.59000E+00   -0.71500E+01   -0.11210E+02   -0.63000E+00   -0.18400E+02    0.10180E+02   -0.82200E+01
    0.75000E-01    0.10900E+01   -0.94000E+01   -0.14160E+02   -0.10500E+01   -0.23520E+02    0.13340E+02   -0.10180E+02
    0.10000E+00    0.16700E+01   -0.11360E+02   -0.16710E+02   -0.14600E+01   -0.27860E+02    0.16160E+02   -0.11700E+02
    0.12500E+00    0.22500E+01   -0.13070E+02   -0.19040E+02   -0.19100E+01   -0.31770E+02    0.18750E+02   -0.13020E+02
    0.15000E+00    0.28600E+01   -0.14550E+02   -0.21040E+02   -0.23100E+01   -0.35040E+02    0.21180E+02   -0.13860E+02
    0.17500E+00    0.35000E+01   -0.15790E+02   -0.22760E+02   -0.26600E+01   -0.37710E+02    0.23470E+02   -0.14240E+02
    0.20000E+00    0.41500E+01   -0.16820E+02   -0.24260E+02   -0.29600E+01   -0.39890E+02    0.25650E+02   -0.14240E+02
    0.25000E+00    0.54900E+01   -0.18250E+02   -0.26590E+02   -0.32800E+01   -0.42630E+02    0.29770E+02   -0.12860E+02
    0.30000E+00    0.68400E+01   -0.18850E+02   -0.28200E+02   -0.32900E+01   -0.43500E+02    0.33620E+02   -0.98800E+01
    0.35000E+00    0.81700E+01   -0.18590E+02   -0.29050E+02   -0.28300E+01   -0.42300E+02    0.37250E+02   -0.50500E+01
    0.40000E+00    0.94900E+01   -0.17470E+02   -0.29160E+02   -0.17800E+01   -0.38920E+02    0.40720E+02    0.18000E+01
