#       rho         V(S=0,I=0)    V(S=0,I=1)      V(S=1,I=0)    V(S=1,I=1)       V_Total          FFG         E_total

   0.100000E-01   0.000000E+00  -0.261036E+01   0.000000E+00  -0.100776E-01  -0.262044E+01   0.552308E+01   0.290264E+01
   0.500000E-01   0.000000E+00  -0.846543E+01   0.000000E+00  -0.255992E+00  -0.872143E+01   0.161496E+02   0.742815E+01
   0.750000E-01   0.000000E+00  -0.113324E+02   0.000000E+00  -0.268777E+00  -0.116012E+02   0.211619E+02   0.956073E+01
   0.100000E+00   0.000000E+00  -0.138453E+02   0.000000E+00  -0.895651E-01  -0.139348E+02   0.256359E+02   0.117010E+02
   0.125000E+00   0.000000E+00  -0.160480E+02   0.000000E+00   0.305387E+00  -0.157426E+02   0.297478E+02   0.140052E+02
   0.150000E+00   0.000000E+00  -0.179806E+02   0.000000E+00   0.939618E+00  -0.170410E+02   0.335925E+02   0.165515E+02
   0.175000E+00   0.000000E+00  -0.196591E+02   0.000000E+00   0.181217E+01  -0.178470E+02   0.372283E+02   0.193813E+02
   0.200000E+00   0.000000E+00  -0.210912E+02   0.000000E+00   0.291342E+01  -0.181778E+02   0.406944E+02   0.225166E+02
   0.250000E+00   0.000000E+00  -0.232646E+02   0.000000E+00   0.582415E+01  -0.174405E+02   0.472217E+02   0.297812E+02
   0.300000E+00   0.000000E+00  -0.246212E+02   0.000000E+00   0.961756E+01  -0.150037E+02   0.533247E+02   0.383211E+02
   0.350000E+00   0.000000E+00  -0.251880E+02   0.000000E+00   0.142081E+02  -0.109799E+02   0.590962E+02   0.481163E+02
   0.400000E+00   0.000000E+00  -0.249615E+02   0.000000E+00   0.195086E+02  -0.545293E+01   0.645983E+02   0.591454E+02
