#      rho          V(S=0,I=0)     V(S=0,I=1)     V(S=1,I=0)   V(S=1,I=1)      V_Total           FFG E_        total

   0.100000E-01   0.000000E+00  -0.257999E+01   0.000000E+00  -0.134702E-01  -0.259346E+01   0.552308E+01   0.292962E+01
   0.500000E-01   0.000000E+00  -0.838864E+01   0.000000E+00  -0.296341E+00  -0.868499E+01   0.161496E+02   0.746459E+01
   0.750000E-01   0.000000E+00  -0.112321E+02   0.000000E+00  -0.341443E+00  -0.115735E+02   0.211619E+02   0.958844E+01
   0.100000E+00   0.000000E+00  -0.137227E+02   0.000000E+00  -0.199332E+00  -0.139220E+02   0.256359E+02   0.117138E+02
   0.125000E+00   0.000000E+00  -0.159045E+02   0.000000E+00   0.154180E+00  -0.157503E+02   0.297478E+02   0.139974E+02
   0.150000E+00   0.000000E+00  -0.178175E+02   0.000000E+00   0.743343E+00  -0.170742E+02   0.335925E+02   0.165183E+02
   0.175000E+00   0.000000E+00  -0.194777E+02   0.000000E+00   0.156855E+01  -0.179091E+02   0.372283E+02   0.193192E+02
   0.200000E+00   0.000000E+00  -0.208929E+02   0.000000E+00   0.261970E+01  -0.182732E+02   0.406944E+02   0.224212E+02
   0.250000E+00   0.000000E+00  -0.230361E+02   0.000000E+00   0.542773E+01  -0.176083E+02   0.472217E+02   0.296133E+02
   0.300000E+00   0.000000E+00  -0.243685E+02   0.000000E+00   0.911492E+01  -0.152536E+02   0.533247E+02   0.380711E+02
   0.350000E+00   0.000000E+00  -0.249136E+02   0.000000E+00   0.135899E+02  -0.113237E+02   0.590962E+02   0.477725E+02
   0.400000E+00   0.000000E+00  -0.246732E+02   0.000000E+00   0.187670E+02  -0.590618E+01   0.645983E+02   0.586921E+02
