#      rho          V(S=0,I=0)     V(S=0,I=1)     V(S=1,I=0)    V(S=1,I=1)      V_Total          FFG           E_total

   0.100000E-01   0.000000E+00  -0.266886E+01   0.000000E+00  -0.145173E-01  -0.268337E+01   0.552308E+01   0.283970E+01
   0.500000E-01   0.000000E+00  -0.859372E+01   0.000000E+00  -0.293960E+00  -0.888768E+01   0.161496E+02   0.726190E+01
   0.750000E-01   0.000000E+00  -0.114855E+02   0.000000E+00  -0.347222E+00  -0.118327E+02   0.211619E+02   0.932926E+01
   0.100000E+00   0.000000E+00  -0.140097E+02   0.000000E+00  -0.214108E+00  -0.142238E+02   0.256359E+02   0.114120E+02
   0.125000E+00   0.000000E+00  -0.162279E+02   0.000000E+00   0.101234E+00  -0.161267E+02   0.297478E+02   0.136211E+02
   0.150000E+00   0.000000E+00  -0.181821E+02   0.000000E+00   0.625986E+00  -0.175561E+02   0.335925E+02   0.160364E+02
   0.175000E+00   0.000000E+00  -0.198918E+02   0.000000E+00   0.135350E+01  -0.185383E+02   0.372283E+02   0.186900E+02
   0.200000E+00   0.000000E+00  -0.213667E+02   0.000000E+00   0.227402E+01  -0.190927E+02   0.406944E+02   0.216017E+02
   0.250000E+00   0.000000E+00  -0.236739E+02   0.000000E+00   0.471418E+01  -0.189597E+02   0.472217E+02   0.282619E+02
   0.300000E+00   0.000000E+00  -0.252055E+02   0.000000E+00   0.789656E+01  -0.173090E+02   0.533247E+02   0.360158E+02
   0.350000E+00   0.000000E+00  -0.260125E+02   0.000000E+00   0.117047E+02  -0.143079E+02   0.590962E+02   0.447884E+02
   0.400000E+00   0.000000E+00  -0.261452E+02   0.000000E+00   0.160460E+02  -0.100992E+02   0.645983E+02   0.544991E+02
