#       rho         V(S=0,I=0)     V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total         FFG           E_total

   0.100000E-01   0.000000E+00  -0.257811E+01   0.000000E+00  -0.137413E-01  -0.259185E+01   0.552308E+01   0.293123E+01
   0.500000E-01   0.000000E+00  -0.838399E+01   0.000000E+00  -0.299707E+00  -0.868370E+01   0.161496E+02   0.746588E+01
   0.750000E-01   0.000000E+00  -0.112260E+02   0.000000E+00  -0.347477E+00  -0.115735E+02   0.211619E+02   0.958841E+01
   0.100000E+00   0.000000E+00  -0.137154E+02   0.000000E+00  -0.208561E+00  -0.139240E+02   0.256359E+02   0.117119E+02
   0.125000E+00   0.000000E+00  -0.158962E+02   0.000000E+00   0.141484E+00  -0.157547E+02   0.297478E+02   0.139931E+02
   0.150000E+00   0.000000E+00  -0.178082E+02   0.000000E+00   0.726894E+00  -0.170814E+02   0.335925E+02   0.165111E+02
   0.175000E+00   0.000000E+00  -0.194676E+02   0.000000E+00   0.154791E+01  -0.179196E+02   0.372283E+02   0.193087E+02
   0.200000E+00   0.000000E+00  -0.208822E+02   0.000000E+00   0.259477E+01  -0.182874E+02   0.406944E+02   0.224070E+02
   0.250000E+00   0.000000E+00  -0.230245E+02   0.000000E+00   0.539462E+01  -0.176298E+02   0.472217E+02   0.295918E+02
   0.300000E+00   0.000000E+00  -0.243566E+02   0.000000E+00   0.907252E+01  -0.152841E+02   0.533247E+02   0.380407E+02
   0.350000E+00   0.000000E+00  -0.249020E+02   0.000000E+00   0.135389E+02  -0.113631E+02   0.590962E+02   0.477331E+02
   0.400000E+00   0.000000E+00  -0.246631E+02   0.000000E+00   0.187045E+02  -0.595857E+01   0.645983E+02   0.586397E+02
