name,eye_color,species
Luke Skywalker,blue,Human
C-3PO,yellow,Droid
R2-D2,red,Droid
Darth Vader,yellow,Human
Leia Organa,brown,Human
Owen Lars,blue,Human
Beru Whitesun Lars,blue,Human
R5-D4,red,Droid
Biggs Darklighter,brown,Human
Obi-Wan Kenobi,blue-gray,Human
Anakin Skywalker,blue,Human
Wilhuff Tarkin,blue,Human
Chewbacca,blue,Wookiee
Han Solo,brown,Human
Greedo,black,Rodian
Jabba Desilijic Tiure,orange,Hutt
Wedge Antilles,hazel,Human
Jek Tono Porkins,blue,NA
Yoda,brown,Yoda's species
Palpatine,yellow,Human
Boba Fett,brown,Human
IG-88,red,Droid
Bossk,red,Trandoshan
Lando Calrissian,brown,Human
Lobot,blue,Human
Ackbar,orange,Mon Calamari
Mon Mothma,blue,Human
Arvel Crynyd,brown,Human
Wicket Systri Warrick,brown,Ewok
Nien Nunb,black,Sullustan
Qui-Gon Jinn,blue,Human
Nute Gunray,red,Neimodian
Finis Valorum,blue,Human
Padmé Amidala,brown,Human
Jar Jar Binks,orange,Gungan
Roos Tarpals,orange,Gungan
Rugor Nass,orange,Gungan
Ric Olié,blue,Human
Watto,yellow,Toydarian
Sebulba,orange,Dug
Quarsh Panaka,brown,Human
Shmi Skywalker,brown,Human
Darth Maul,yellow,Zabrak
Bib Fortuna,pink,Twi'lek
Ayla Secura,hazel,Twi'lek
Ratts Tyerel,unknown,Aleena
Dud Bolt,yellow,Vulptereen
Gasgano,black,Xexto
Ben Quadinaros,orange,Toong
Mace Windu,brown,Human
Ki-Adi-Mundi,yellow,Cerean
Kit Fisto,black,Nautolan
Eeth Koth,brown,Zabrak
Adi Gallia,blue,Tholothian
Saesee Tiin,orange,Iktotchi
Yarael Poof,yellow,Quermian
Plo Koon,black,Kel Dor
Mas Amedda,blue,Chagrian
Gregar Typho,brown,NA
Cordé,brown,NA
Cliegg Lars,blue,Human
Poggle the Lesser,yellow,Geonosian
Luminara Unduli,blue,Mirialan
Barriss Offee,blue,Mirialan
Dormé,brown,Human
Dooku,brown,Human
Bail Prestor Organa,brown,Human
Jango Fett,brown,Human
Zam Wesell,yellow,Clawdite
Dexter Jettster,yellow,Besalisk
Lama Su,black,Kaminoan
Taun We,black,Kaminoan
Jocasta Nu,blue,Human
R4-P17,"red, blue",Droid
Wat Tambor,unknown,Skakoan
San Hill,gold,Muun
Shaak Ti,black,Togruta
Grievous,"green, yellow",Kaleesh
Tarfful,blue,Wookiee
Raymus Antilles,brown,Human
Sly Moore,white,NA
Tion Medon,black,Pau'an
Finn,dark,Human
Rey,hazel,Human
Poe Dameron,brown,Human
BB8,black,Droid
Captain Phasma,unknown,Human
