#       rho        V(S=0,I=0)      V(S=0,I=1)     V(S=1,I=0)    V(S=1,I=1)      V_Total           FFG          E_total

   0.100000E-01   0.000000E+00  -0.262584E+01   0.000000E+00  -0.102939E-01  -0.263614E+01   0.552308E+01   0.288694E+01
   0.500000E-01   0.000000E+00  -0.881721E+01   0.000000E+00  -0.295202E+00  -0.911241E+01   0.161496E+02   0.703716E+01
   0.750000E-01   0.000000E+00  -0.120470E+02   0.000000E+00  -0.386345E+00  -0.124333E+02   0.211619E+02   0.872862E+01
   0.100000E+00   0.000000E+00  -0.150353E+02   0.000000E+00  -0.337948E+00  -0.153733E+02   0.256359E+02   0.102626E+02
   0.125000E+00   0.000000E+00  -0.178020E+02   0.000000E+00  -0.150488E+00  -0.179525E+02   0.297478E+02   0.117953E+02
   0.150000E+00   0.000000E+00  -0.204059E+02   0.000000E+00   0.218781E+00  -0.201871E+02   0.335925E+02   0.134053E+02
   0.175000E+00   0.000000E+00  -0.228760E+02   0.000000E+00   0.786692E+00  -0.220893E+02   0.372283E+02   0.151390E+02
   0.200000E+00   0.000000E+00  -0.252102E+02   0.000000E+00   0.153700E+01  -0.236732E+02   0.406944E+02   0.170212E+02
   0.250000E+00   0.000000E+00  -0.294173E+02   0.000000E+00   0.349673E+01  -0.259206E+02   0.472217E+02   0.213011E+02
   0.300000E+00   0.000000E+00  -0.330640E+02   0.000000E+00   0.608170E+01  -0.269823E+02   0.533247E+02   0.263425E+02
   0.350000E+00   0.000000E+00  -0.363055E+02   0.000000E+00   0.933701E+01  -0.269685E+02   0.590962E+02   0.321278E+02
   0.400000E+00   0.000000E+00  -0.391711E+02   0.000000E+00   0.132525E+02  -0.259186E+02   0.645983E+02   0.386797E+02
