#       rho         V(S=0,I=0)     V(S=0,I=1)      V(S=1,I=0)   V(S=1,I=1)       V_Total         FFG           E_total

   0.100000E-01   0.000000E+00  -0.263979E+01   0.000000E+00  -0.884982E-02  -0.264864E+01   0.552308E+01   0.287444E+01
   0.500000E-01   0.000000E+00  -0.885303E+01   0.000000E+00  -0.278675E+00  -0.913170E+01   0.161496E+02   0.701788E+01
   0.750000E-01   0.000000E+00  -0.120939E+02   0.000000E+00  -0.357039E+00  -0.124509E+02   0.211619E+02   0.871100E+01
   0.100000E+00   0.000000E+00  -0.150928E+02   0.000000E+00  -0.294541E+00  -0.153874E+02   0.256359E+02   0.102485E+02
   0.125000E+00   0.000000E+00  -0.178697E+02   0.000000E+00  -0.920895E-01  -0.179617E+02   0.297478E+02   0.117860E+02
   0.150000E+00   0.000000E+00  -0.204833E+02   0.000000E+00   0.292800E+00  -0.201905E+02   0.335925E+02   0.134020E+02
   0.175000E+00   0.000000E+00  -0.229627E+02   0.000000E+00   0.876291E+00  -0.220864E+02   0.372283E+02   0.151419E+02
   0.200000E+00   0.000000E+00  -0.253059E+02   0.000000E+00   0.164272E+01  -0.236631E+02   0.406944E+02   0.170313E+02
   0.250000E+00   0.000000E+00  -0.295299E+02   0.000000E+00   0.363453E+01  -0.258953E+02   0.472217E+02   0.213263E+02
   0.300000E+00   0.000000E+00  -0.331920E+02   0.000000E+00   0.625186E+01  -0.269402E+02   0.533247E+02   0.263845E+02
   0.350000E+00   0.000000E+00  -0.364478E+02   0.000000E+00   0.954024E+01  -0.269076E+02   0.590962E+02   0.321887E+02
   0.400000E+00   0.000000E+00  -0.393275E+02   0.000000E+00   0.134880E+02  -0.258394E+02   0.645983E+02   0.387589E+02
