#      rho             V(S=0,I=0)  V(S=0,I=1)     V(S=1,I=0)    V(S=1,I=1)     V_Total           FFG           E_total

   0.100000E-01   0.000000E+00  -0.270399E+01   0.000000E+00  -0.133554E-01  -0.271735E+01   0.552308E+01   0.280573E+01
   0.500000E-01   0.000000E+00  -0.904936E+01   0.000000E+00  -0.320602E+00  -0.936997E+01   0.161496E+02   0.677961E+01
   0.750000E-01   0.000000E+00  -0.123770E+02   0.000000E+00  -0.445248E+00  -0.128222E+02   0.211619E+02   0.833969E+01
   0.100000E+00   0.000000E+00  -0.154635E+02   0.000000E+00  -0.438891E+00  -0.159024E+02   0.256359E+02   0.973347E+01
   0.125000E+00   0.000000E+00  -0.183468E+02   0.000000E+00  -0.327205E+00  -0.186740E+02   0.297478E+02   0.110737E+02
   0.150000E+00   0.000000E+00  -0.210866E+02   0.000000E+00  -0.653564E-01  -0.211519E+02   0.335925E+02   0.124406E+02
   0.175000E+00   0.000000E+00  -0.237153E+02   0.000000E+00   0.359480E+00  -0.233558E+02   0.372283E+02   0.138725E+02
   0.200000E+00   0.000000E+00  -0.262326E+02   0.000000E+00   0.932704E+00  -0.252999E+02   0.406944E+02   0.153945E+02
   0.250000E+00   0.000000E+00  -0.308859E+02   0.000000E+00   0.242928E+01  -0.284566E+02   0.472217E+02   0.187650E+02
   0.300000E+00   0.000000E+00  -0.351062E+02   0.000000E+00   0.438690E+01  -0.307193E+02   0.533247E+02   0.226054E+02
   0.350000E+00   0.000000E+00  -0.390314E+02   0.000000E+00   0.687859E+01  -0.321529E+02   0.590962E+02   0.269434E+02
   0.400000E+00   0.000000E+00  -0.427070E+02   0.000000E+00   0.985606E+01  -0.328510E+02   0.645983E+02   0.317473E+02
