#       rho        V(S=0,I=0)      V(S=0,I=1)     V(S=1,I=0)    V(S=1,I=1)       V_Total          FFG          E_total

   0.100000E-01   0.000000E+00  -0.261563E+01   0.000000E+00  -0.114123E-01  -0.262704E+01   0.552308E+01   0.289604E+01
   0.500000E-01   0.000000E+00  -0.879101E+01   0.000000E+00  -0.308127E+00  -0.909913E+01   0.161496E+02   0.705044E+01
   0.750000E-01   0.000000E+00  -0.120127E+02   0.000000E+00  -0.409316E+00  -0.124220E+02   0.211619E+02   0.873995E+01
   0.100000E+00   0.000000E+00  -0.149933E+02   0.000000E+00  -0.371907E+00  -0.153652E+02   0.256359E+02   0.102706E+02
   0.125000E+00   0.000000E+00  -0.177527E+02   0.000000E+00  -0.196090E+00  -0.179488E+02   0.297478E+02   0.117990E+02
   0.150000E+00   0.000000E+00  -0.203497E+02   0.000000E+00   0.161205E+00  -0.201885E+02   0.335925E+02   0.134040E+02
   0.175000E+00   0.000000E+00  -0.228131E+02   0.000000E+00   0.716716E+00  -0.220964E+02   0.372283E+02   0.151319E+02
   0.200000E+00   0.000000E+00  -0.251411E+02   0.000000E+00   0.145461E+01  -0.236865E+02   0.406944E+02   0.170079E+02
   0.250000E+00   0.000000E+00  -0.293366E+02   0.000000E+00   0.338933E+01  -0.259473E+02   0.472217E+02   0.212744E+02
   0.300000E+00   0.000000E+00  -0.329723E+02   0.000000E+00   0.594927E+01  -0.270231E+02   0.533247E+02   0.263017E+02
   0.350000E+00   0.000000E+00  -0.362042E+02   0.000000E+00   0.918045E+01  -0.270237E+02   0.590962E+02   0.320725E+02
   0.400000E+00   0.000000E+00  -0.390611E+02   0.000000E+00   0.130712E+02  -0.259898E+02   0.645983E+02   0.386085E+02
