# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.05,0.00946,0.00946
0.1,0.08046,0.08047
0.15,0.22009,0.22011
0.2,0.41411,0.41417
0.25,0.64839,0.64855
0.3,0.91043,0.91076
0.35,1.18911,1.18971
0.4,1.47428,1.47533
0.45,1.75654,1.75827
0.5,2.02707,2.02973
0.55,2.27752,2.28143
0.6,2.49913,2.50548
0.65,2.68433,2.69492
0.7,2.82494,2.84175
0.75,2.9142,2.93975
0.8,2.94505,2.98249
0.85,2.91107,2.96419
0.9,2.80717,2.88036
0.95,2.6296,2.72763
1.0,2.37702,2.50457
1.05,2.05168,2.21241
1.1,1.66236,1.85703
1.15,1.22844,1.45158
1.2,0.78653,1.02097
1.25,0.39618,0.60757
1.3,0.12931,0.2721
1.35,0.01771,0.07195
1.4,0.0,0.0063
1.45,0.0,0.0
1.5,0.0,0.0
1.55,0.0,0.0
1.6,0.0,0.0
1.65,0.0,0.0
1.7,0.0,0.0
1.75,0.0,0.0
1.8,0.0,0.01036
1.85,0.0,0.06982
1.9,0.0,0.20829
1.95,0.0,0.40163
2.0,0.01925,0.59721
2.05,0.06688,0.74593
2.1,0.13027,0.81548
2.15,0.17929,0.79183
2.2,0.19073,0.68013
