# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.05,0.00947,0.00947
0.1,0.07994,0.07994
0.15,0.21716,0.21717
0.2,0.40562,0.40566
0.25,0.63028,0.63039
0.3,0.87806,0.87831
0.35,1.1375,1.13803
0.4,1.3983,1.3993
0.45,1.65094,1.65283
0.5,1.88657,1.88991
0.55,2.09686,2.10245
0.6,2.27395,2.28286
0.65,2.41045,2.4241
0.7,2.49953,2.51967
0.75,2.5351,2.56383
0.8,2.51203,2.55178
0.85,2.42659,2.47997
0.9,2.27701,2.34658
0.95,2.0644,2.15222
1.0,1.79393,1.90084
1.05,1.4765,1.60099
1.1,1.13052,1.26732
1.15,0.7832,0.92194
1.2,0.46966,0.59475
1.25,0.22631,0.32057
1.3,0.07242,0.13475
1.35,0.01071,0.03703
1.4,0.0,0.00491
1.45,0.0,0.0
1.5,0.0,0.0
1.55,0.0,0.0
1.6,0.0,0.0
1.65,0.0,0.0
1.7,0.0,0.0
1.75,0.0,0.0
1.8,0.0,0.0
1.85,0.0,0.0
1.9,0.0,0.0
1.95,0.0,0.0
2.0,0.0,0.0
2.05,0.0,0.0
2.1,0.0,0.0
2.15,0.0,0.0
2.2,0.0,0.0
