# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.05,0.00946,0.00946
0.1,0.08046,0.08047
0.15,0.22009,0.22011
0.2,0.41412,0.41418
0.25,0.64842,0.64857
0.3,0.91049,0.91081
0.35,1.18923,1.18981
0.4,1.47449,1.47551
0.45,1.75689,1.75854
0.5,2.0276,2.03012
0.55,2.27828,2.28194
0.6,2.50027,2.50599
0.65,2.68579,2.69547
0.7,2.82673,2.84223
0.75,2.91629,2.94001
0.8,2.94732,2.9823
0.85,2.91331,2.96321
0.9,2.80905,2.87812
0.95,2.63065,2.72354
1.0,2.37664,2.49796
1.05,2.04926,2.20263
1.1,1.65737,1.8436
1.15,1.22075,1.43452
1.2,0.77685,1.00124
1.25,0.38657,0.58765
1.3,0.12283,0.25612
1.35,0.01568,0.0637
1.4,0.0,0.00479
1.45,0.0,0.0
1.5,0.0,0.0
1.55,0.0,0.0
1.6,0.0,0.0
1.65,0.0,0.0
1.7,0.0,0.0
1.75,0.0,0.0
1.8,0.0,0.00866
1.85,0.0,0.06337
1.9,0.0,0.19516
1.95,0.0,0.38115
2.0,0.00684,0.56943
2.05,0.03204,0.71167
2.1,0.07318,0.77656
2.15,0.10944,0.7511
2.2,0.12099,0.64134
