# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.7,0.0,0.0
0.75,0.0,0.0
0.8,0.0,0.0
0.85,0.0,0.0
0.9,0.00074,0.00087
0.95,0.00264,0.00284
1.0,0.00588,0.00639
1.05,0.01177,0.0129
1.1,0.02081,0.023
1.15,0.03317,0.03708
1.2,0.04835,0.05481
1.25,0.06509,0.07512
1.3,0.08145,0.09618
1.35,0.09502,0.11563
1.4,0.10339,0.131
1.45,0.10462,0.14008
1.5,0.09772,0.14134
1.55,0.08307,0.13417
1.6,0.06279,0.11912
1.65,0.04063,0.09792
1.7,0.02114,0.07341
1.75,0.008,0.04911
1.8,0.00147,0.02852
1.85,0.0,0.01385
1.9,0.0,0.00561
1.95,0.0,0.0005
2.0,0.0,0.0
2.05,0.0,0.0
2.1,0.0,0.0
2.15,0.0,0.0
2.2,0.0,0.0
