# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.05,0.00946,0.00946
0.1,0.08021,0.08022
0.15,0.21874,0.21876
0.2,0.41021,0.41027
0.25,0.64018,0.64033
0.3,0.89613,0.89645
0.35,1.16713,1.16774
0.4,1.44329,1.44438
0.45,1.71548,1.71727
0.5,1.97506,1.97784
0.55,2.21387,2.21797
0.6,2.42323,2.42985
0.65,2.59559,2.60656
0.7,2.72282,2.74012
0.75,2.79815,2.82429
0.8,2.81457,2.85264
0.85,2.76579,2.81946
0.9,2.64702,2.72043
0.95,2.45511,2.55256
1.0,2.18982,2.31519
1.05,1.8554,2.01097
1.1,1.46392,1.64823
1.15,1.0399,1.24423
1.2,0.6263,0.8299
1.25,0.28572,0.45393
1.3,0.07861,0.17651
1.35,0.00774,0.03607
1.4,0.0,0.00178
1.45,0.0,0.0
1.5,0.0,0.0
1.55,0.0,0.0
1.6,0.0,0.0
1.65,0.0,0.0
1.7,0.0,0.0
1.75,0.0,0.0
1.8,0.0,0.00371
1.85,0.0,0.03535
1.9,0.0,0.1403
1.95,0.0,0.31784
2.0,0.0,0.52637
2.05,0.00669,0.71558
2.1,0.02444,0.84591
2.15,0.05167,0.89268
2.2,0.07583,0.84698
