# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.7,0.0,0.0
0.75,0.0,0.0
0.8,0.0,0.0
0.85,0.0,0.0
0.9,0.0,0.0
0.95,0.00137,0.0015
1.0,0.00326,0.00352
1.05,0.00655,0.00716
1.1,0.0121,0.01333
1.15,0.02039,0.02261
1.2,0.03183,0.0356
1.25,0.04666,0.05265
1.3,0.06486,0.07387
1.35,0.08617,0.09911
1.4,0.11022,0.12809
1.45,0.13667,0.16053
1.5,0.1652,0.19612
1.55,0.19551,0.23452
1.6,0.22724,0.27521
1.65,0.25991,0.3174
1.7,0.29297,0.36201
1.75,0.3259,0.41067
1.8,0.35863,0.46084
1.85,0.39159,0.51195
1.9,0.4255,0.56301
1.95,0.461,0.6126
2.0,0.49831,0.659
2.05,0.53681,0.70027
2.1,0.57482,0.73418
2.15,0.60967,0.7583
2.2,0.63809,0.77036
