# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.05,0.00948,0.00948
0.1,0.08024,0.08024
0.15,0.21879,0.2188
0.2,0.41045,0.41049
0.25,0.64072,0.64083
0.3,0.89682,0.89708
0.35,1.1674,1.16794
0.4,1.44218,1.44319
0.45,1.7117,1.71357
0.5,1.96718,1.97048
0.55,2.20039,2.20594
0.6,2.40366,2.41255
0.65,2.56975,2.58343
0.7,2.69195,2.71227
0.75,2.76417,2.79336
0.8,2.78099,2.82174
0.85,2.73797,2.79329
0.9,2.63188,2.70503
0.95,2.46127,2.55543
1.0,2.22719,2.34495
1.05,1.93441,2.07687
1.1,1.59308,1.75845
1.15,1.22089,1.40264
1.2,0.84538,1.03014
1.25,0.50393,0.67084
1.3,0.23598,0.36611
1.35,0.06829,0.15483
1.4,0.00739,0.04193
1.45,0.0,0.00505
1.5,0.0,0.0
1.55,0.0,0.0
1.6,0.0,0.0
1.65,0.0,0.0
1.7,0.0,0.0
1.75,0.0,0.0
1.8,0.0,0.0
1.85,0.0,0.0
1.9,0.0,0.0
1.95,0.0,0.0
2.0,0.0,0.0
2.05,0.0,0.0
2.1,0.0,0.0
2.15,0.0,0.0
2.2,0.0,0.0
