# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.7,0.0,0.0
0.75,0.0,0.0
0.8,0.0,0.0
0.85,0.0,0.0
0.9,0.0,0.0
0.95,0.00125,0.00142
1.0,0.00324,0.00357
1.05,0.0067,0.00753
1.1,0.0128,0.01459
1.15,0.0222,0.02569
1.2,0.03555,0.04188
1.25,0.05317,0.06399
1.3,0.07494,0.09249
1.35,0.10024,0.12749
1.4,0.12803,0.16875
1.45,0.15685,0.21575
1.5,0.1849,0.26762
1.55,0.21004,0.32301
1.6,0.22997,0.37984
1.65,0.24251,0.43517
1.7,0.24577,0.48519
1.75,0.23864,0.52552
1.8,0.22126,0.55182
1.85,0.19495,0.56027
1.9,0.1619,0.54789
1.95,0.12504,0.51307
2.0,0.08797,0.45635
2.05,0.05463,0.38082
2.1,0.02856,0.29273
2.15,0.01163,0.20167
2.2,0.00348,0.11976
