# kf [fm^-1],Delta (lower boundary) [MeV],Delta (upper boundary) [MeV]
0.05,0.00948,0.00948
0.1,0.08043,0.08043
0.15,0.21964,0.21965
0.2,0.41261,0.41265
0.25,0.64498,0.64506
0.3,0.90404,0.90421
0.35,1.17845,1.17885
0.4,1.45792,1.45878
0.45,1.73287,1.7346
0.5,1.99432,1.99755
0.55,2.23378,2.23943
0.6,2.44292,2.45231
0.65,2.61418,2.62904
0.7,2.73964,2.76226
0.75,2.81248,2.84574
0.8,2.82603,2.87343
0.85,2.7744,2.84004
0.9,2.65307,2.74154
0.95,2.45928,2.57528
1.0,2.19315,2.34083
1.05,1.85929,2.04095
1.1,1.46987,1.68362
1.15,1.04889,1.28489
1.2,0.63755,0.87304
1.25,0.29554,0.49249
1.3,0.08281,0.20083
1.35,0.00788,0.04328
1.4,0.0,0.00209
1.45,0.0,0.0
1.5,0.0,0.0
1.55,0.0,0.0
1.6,0.0,0.0
1.65,0.0,0.0
1.7,0.0,0.0
1.75,0.0,0.0
1.8,0.0,0.0
1.85,0.0,0.0
1.9,0.0,0.0
1.95,0.0,0.0
2.0,0.0,0.0
2.05,0.0,0.0
2.1,0.0,0.0
2.15,0.0,0.0
2.2,0.0,0.0
