# ref: T. Li, U. Garg, Y. Liu et al., Phys. Rev. C 81, 034309 (2010)
# Z A Eprob Proj m_1/m_-1 delta+ delta-
40 90 386 $\alpha$ 17.62 0.07 0.07
40 92 386 $\alpha$ 17.62 0.12 0.12
40 94 386 $\alpha$ 15.80 0.21 0.21
50 112 386 $\alpha$ 16.10 0.10 0.10
50 114 386 $\alpha$ 15.90 0.10 0.10
50 116 386 $\alpha$ 15.70 0.10 0.10
50 118 386 $\alpha$ 15.60 0.10 0.10
50 120 386 $\alpha$ 15.50 0.10 0.10
50 122 386 $\alpha$ 15.20 0.10 0.10
50 124 386 $\alpha$ 15.10 0.10 0.10
82 204 386 $\alpha$ 13.7 0.10 0.10
82 206 386 $\alpha$ 13.6 0.10 0.10
82 208 386 $\alpha$ 13.5 0.10 0.10

