 #      rho         V(S=0,I=0)      V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)     V_Total        FFG           E_total

    0.50000E-01    0.00000E+00   -0.83700E+01    0.00000E+00   -0.83000E+00   -0.92000E+01    0.16150E+02    0.69500E+01
    0.75000E-01    0.00000E+00   -0.11130E+02    0.00000E+00   -0.11400E+01   -0.12270E+02    0.21160E+02    0.88900E+01
    0.10000E+00    0.00000E+00   -0.13470E+02    0.00000E+00   -0.12100E+01   -0.14680E+02    0.25640E+02    0.10960E+02
    0.12500E+00    0.00000E+00   -0.15450E+02    0.00000E+00   -0.99000E+00   -0.16440E+02    0.29750E+02    0.13310E+02
    0.15000E+00    0.00000E+00   -0.17090E+02    0.00000E+00   -0.55000E+00   -0.17640E+02    0.33590E+02    0.15950E+02
    0.17500E+00    0.00000E+00   -0.18420E+02    0.00000E+00    0.16000E+00   -0.18260E+02    0.37230E+02    0.18970E+02
    0.20000E+00    0.00000E+00   -0.19420E+02    0.00000E+00    0.11900E+01   -0.18230E+02    0.40690E+02    0.22460E+02
    0.25000E+00    0.00000E+00   -0.20490E+02    0.00000E+00    0.42300E+01   -0.16260E+02    0.47220E+02    0.30960E+02
    0.30000E+00    0.00000E+00   -0.20300E+02    0.00000E+00    0.87900E+01   -0.11510E+02    0.53320E+02    0.41810E+02
    0.35000E+00    0.00000E+00   -0.18880E+02    0.00000E+00    0.15330E+02   -0.35500E+01    0.59100E+02    0.55550E+02
    0.40000E+00    0.00000E+00   -0.16170E+02    0.00000E+00    0.23230E+02    0.70600E+01    0.64600E+02    0.71660E+02
