#      rho          V(S=0,I=0)     V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total          FFG           E_total

   0.100000E-01   0.000000E+00  -0.258645E+01   0.000000E+00  -0.126766E-01  -0.259913E+01   0.552308E+01   0.292395E+01
   0.500000E-01   0.000000E+00  -0.840491E+01   0.000000E+00  -0.286743E+00  -0.869165E+01   0.161496E+02   0.745793E+01
   0.750000E-01   0.000000E+00  -0.112532E+02   0.000000E+00  -0.324022E+00  -0.115773E+02   0.211619E+02   0.958468E+01
   0.100000E+00   0.000000E+00  -0.137485E+02   0.000000E+00  -0.173017E+00  -0.139215E+02   0.256359E+02   0.117144E+02
   0.125000E+00   0.000000E+00  -0.159345E+02   0.000000E+00   0.190518E+00  -0.157440E+02   0.297478E+02   0.140038E+02
   0.150000E+00   0.000000E+00  -0.178514E+02   0.000000E+00   0.790473E+00  -0.170609E+02   0.335925E+02   0.165315E+02
   0.175000E+00   0.000000E+00  -0.195149E+02   0.000000E+00   0.162709E+01  -0.178879E+02   0.372283E+02   0.193404E+02
   0.200000E+00   0.000000E+00  -0.209332E+02   0.000000E+00   0.269064E+01  -0.182426E+02   0.406944E+02   0.224518E+02
   0.250000E+00   0.000000E+00  -0.230818E+02   0.000000E+00   0.552277E+01  -0.175590E+02   0.472217E+02   0.296626E+02
   0.300000E+00   0.000000E+00  -0.244181E+02   0.000000E+00   0.923532E+01  -0.151828E+02   0.533247E+02   0.381419E+02
   0.350000E+00   0.000000E+00  -0.249664E+02   0.000000E+00   0.137392E+02  -0.112272E+02   0.590962E+02   0.478690E+02
   0.400000E+00   0.000000E+00  -0.247252E+02   0.000000E+00   0.189452E+02  -0.577993E+01   0.645983E+02   0.588184E+02
