#       rho         V(S=0,I=0)    V(S=0,I=1)     V(S=1,I=0)     V(S=1,I=1)      V_Total          FFG          E_total

   0.100000E-01   0.000000E+00  -0.269913E+01   0.000000E+00  -0.239147E-01  -0.272304E+01   0.552308E+01   0.280003E+01
   0.500000E-01   0.000000E+00  -0.872272E+01   0.000000E+00  -0.325853E+00  -0.904857E+01   0.161496E+02   0.710101E+01
   0.750000E-01   0.000000E+00  -0.116816E+02   0.000000E+00  -0.367688E+00  -0.120493E+02   0.211619E+02   0.911264E+01
   0.100000E+00   0.000000E+00  -0.142792E+02   0.000000E+00  -0.218290E+00  -0.144975E+02   0.256359E+02   0.111384E+02
   0.125000E+00   0.000000E+00  -0.165587E+02   0.000000E+00   0.142656E+00  -0.164161E+02   0.297478E+02   0.133317E+02
   0.150000E+00   0.000000E+00  -0.185599E+02   0.000000E+00   0.737068E+00  -0.178228E+02   0.335925E+02   0.157697E+02
   0.175000E+00   0.000000E+00  -0.202983E+02   0.000000E+00   0.156386E+01  -0.187345E+02   0.372283E+02   0.184938E+02
   0.200000E+00   0.000000E+00  -0.217810E+02   0.000000E+00   0.261785E+01  -0.191631E+02   0.406944E+02   0.215313E+02
   0.250000E+00   0.000000E+00  -0.240203E+02   0.000000E+00   0.543059E+01  -0.185897E+02   0.472217E+02   0.286319E+02
   0.300000E+00   0.000000E+00  -0.253824E+02   0.000000E+00   0.913327E+01  -0.162492E+02   0.533247E+02   0.370756E+02
   0.350000E+00   0.000000E+00  -0.259022E+02   0.000000E+00   0.136740E+02  -0.122282E+02   0.590962E+02   0.468681E+02
   0.400000E+00   0.000000E+00  -0.256096E+02   0.000000E+00   0.189927E+02  -0.661682E+01   0.645983E+02   0.579815E+02
