#      rho          V(S=0,I=0)     V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total          FFG          E_total

   0.100000E-01   0.000000E+00  -0.257713E+01   0.000000E+00  -0.139054E-01  -0.259104E+01   0.552308E+01   0.293204E+01
   0.500000E-01   0.000000E+00  -0.838164E+01   0.000000E+00  -0.302041E+00  -0.868368E+01   0.161496E+02   0.746589E+01
   0.750000E-01   0.000000E+00  -0.112231E+02   0.000000E+00  -0.351845E+00  -0.115749E+02   0.211619E+02   0.958701E+01
   0.100000E+00   0.000000E+00  -0.137119E+02   0.000000E+00  -0.215165E+00  -0.139271E+02   0.256359E+02   0.117088E+02
   0.125000E+00   0.000000E+00  -0.158923E+02   0.000000E+00   0.132507E+00  -0.157597E+02   0.297478E+02   0.139880E+02
   0.150000E+00   0.000000E+00  -0.178040E+02   0.000000E+00   0.715242E+00  -0.170888E+02   0.335925E+02   0.165037E+02
   0.175000E+00   0.000000E+00  -0.194632E+02   0.000000E+00   0.153335E+01  -0.179298E+02   0.372283E+02   0.192985E+02
   0.200000E+00   0.000000E+00  -0.208778E+02   0.000000E+00   0.257717E+01  -0.183006E+02   0.406944E+02   0.223938E+02
   0.250000E+00   0.000000E+00  -0.230203E+02   0.000000E+00   0.537071E+01  -0.176496E+02   0.472217E+02   0.295720E+02
   0.300000E+00   0.000000E+00  -0.243535E+02   0.000000E+00   0.904224E+01  -0.153112E+02   0.533247E+02   0.380135E+02
   0.350000E+00   0.000000E+00  -0.249006E+02   0.000000E+00   0.135023E+02  -0.113983E+02   0.590962E+02   0.476980E+02
   0.400000E+00   0.000000E+00  -0.246637E+02   0.000000E+00   0.186586E+02  -0.600514E+01   0.645983E+02   0.585932E+02
