# From S. GORIELY, N. CHAMEL, AND J. M. PEARSON. PHYSICAL REVIEW C 93, 034337 (2016)
# LP  BSk32
G0    0.33
G0p   0.97
kF    1.328
ms/m  0.840
Ksat  244.1
Esym  32.00

