# Set           Rn (fm)      Rp (fm)      Rn-Rp (fm)
BSK14           5.5937       5.4318       0.1619
BSK16           5.5798       5.4287       0.1511
BSK17           5.5820       5.4286       0.1534
SKGSIGMA        5.6452       5.4149       0.2303
LNS1            5.5515       5.4107       0.1408
LNS5            5.5690       5.4113       0.1577
MSK5S           5.5701       5.4613       0.1088
NRAPR           5.6472       5.4608       0.1864
RATP            5.5977       5.4520       0.1457
SKRSIGMA        5.6326       5.4170       0.2156
SAMI            5.6085       5.4616       0.1469
SGII            5.6023       5.4662       0.1361
SIII            5.6514       5.5250       0.1264
SKX             5.5714       5.4161       0.1553
Skz2            5.5667       5.4353       0.1314
SLY230A         5.6078       5.4553       0.1525
SLY230B         5.6175       5.4577       0.1598
SLY4            5.6175       5.4577       0.1598
SLY5            5.6118       5.4494       0.1624
SKI2            5.6792       5.4400       0.2392
SKI3            5.6569       5.4280       0.2289
SKI4            5.6073       5.4263       0.1810
SKI5            5.7056       5.4343       0.2713
SKMP            5.6423       5.4464       0.1959
SKMS            5.6205       5.4515       0.1690
SKO             5.6633       5.4419       0.2214
SKOP            5.6392       5.4360       0.2032
T6              5.5954       5.4434       0.1520
UNEDF0          5.6397       5.4513       0.1884
UNEDF1          5.6588       5.4914       0.1674
F+              5.5891       5.4383       0.1508
F-              5.5936       5.4392       0.1544
F0              5.5914       5.4392       0.1522
