# Set           Rn (fm)      Rp (fm)      Rn-Rp (fm)
BSK14           3.5703       3.4178       0.1525
BSK16           3.5640       3.4186       0.1454
BSK17           3.5654       3.4202       0.1452
SKGSIGMA        3.5828       3.3944       0.1884
LNS1            3.5560       3.4086       0.1474
LNS5            3.5418       3.3825       0.1593
MSK5S           3.5714       3.4381       0.1333
NRAPR           3.6348       3.4349       0.1999
RATP            3.6025       3.4485       0.1540
SKRSIGMA        3.5768       3.3958       0.1810
SAMI            3.6112       3.4360       0.1752
SGII            3.5912       3.4377       0.1535
SIII            3.6150       3.4731       0.1419
SKX             3.5338       3.3932       0.1406
Skz2            3.5891       3.4430       0.1461
SLY230A         3.6032       3.4530       0.1502
SLY230B         3.6066       3.4530       0.1536
SLY4            3.6064       3.4529       0.1535
SLY5            3.6112       3.4506       0.1606
SKI2            3.6236       3.4186       0.2050
SKI3            3.6214       3.4093       0.2121
SKI4            3.6257       3.3971       0.2286
SKI5            3.6325       3.4122       0.2203
SKMP            3.5881       3.4246       0.1635
SKMS            3.6004       3.4453       0.1551
SKO             3.6596       3.4077       0.2519
SKOP            3.6258       3.4055       0.2203
T6              3.6261       3.4591       0.1670
UNEDF0          3.6480       3.4428       0.2052
UNEDF1          3.6357       3.4396       0.1961
F+              3.6113       3.4570       0.1543
F-              3.6166       3.4563       0.1603
F0              3.6136       3.4571       0.1565
