# Set           Rn (fm)      Rp (fm)      Rn-Rp (fm)
TW99            3.5350       3.3487       0.1863
DDME1           3.5835       3.3901       0.1934
DDME2           3.5745       3.3879       0.1866
PKDD            3.5811       3.3641       0.2170
DDMEd           3.5516       3.3771       0.1745
