#       rho         V(S=0,I=0)     V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)       V_Total         FFG          E_total

   0.100000E-01   0.000000E+00  -0.260909E+01   0.000000E+00  -0.122028E-01  -0.262129E+01   0.552308E+01   0.290178E+01
   0.500000E-01   0.000000E+00  -0.877433E+01   0.000000E+00  -0.317379E+00  -0.909171E+01   0.161496E+02   0.705787E+01
   0.750000E-01   0.000000E+00  -0.119909E+02   0.000000E+00  -0.425720E+00  -0.124166E+02   0.211619E+02   0.874530E+01
   0.100000E+00   0.000000E+00  -0.149668E+02   0.000000E+00  -0.396169E+00  -0.153630E+02   0.256359E+02   0.102729E+02
   0.125000E+00   0.000000E+00  -0.177217E+02   0.000000E+00  -0.228586E+00  -0.179503E+02   0.297478E+02   0.117975E+02
   0.150000E+00   0.000000E+00  -0.203144E+02   0.000000E+00   0.120173E+00  -0.201943E+02   0.335925E+02   0.133982E+02
   0.175000E+00   0.000000E+00  -0.227739E+02   0.000000E+00   0.667067E+00  -0.221069E+02   0.372283E+02   0.151214E+02
   0.200000E+00   0.000000E+00  -0.250981E+02   0.000000E+00   0.139628E+01  -0.237019E+02   0.406944E+02   0.169925E+02
   0.250000E+00   0.000000E+00  -0.292869E+02   0.000000E+00   0.331381E+01  -0.259730E+02   0.472217E+02   0.212486E+02
   0.300000E+00   0.000000E+00  -0.329166E+02   0.000000E+00   0.585699E+01  -0.270596E+02   0.533247E+02   0.262651E+02
   0.350000E+00   0.000000E+00  -0.361427E+02   0.000000E+00   0.907133E+01  -0.270714E+02   0.590962E+02   0.320249E+02
   0.400000E+00   0.000000E+00  -0.389957E+02   0.000000E+00   0.129464E+02  -0.260493E+02   0.645983E+02   0.385490E+02
