#      rho          V(S=0,I=0)    V(S=0,I=1)      V(S=1,I=0)    V(S=1,I=1)      V_Total           FFG          E_total

   0.100000E-01   0.000000E+00  -0.272477E+01   0.000000E+00  -0.189245E-01  -0.274370E+01   0.552308E+01   0.277938E+01
   0.500000E-01   0.000000E+00  -0.919497E+01   0.000000E+00  -0.338277E+00  -0.953325E+01   0.161496E+02   0.661633E+01
   0.750000E-01   0.000000E+00  -0.126558E+02   0.000000E+00  -0.471025E+00  -0.131269E+02   0.211619E+02   0.803508E+01
   0.100000E+00   0.000000E+00  -0.159130E+02   0.000000E+00  -0.479051E+00  -0.163920E+02   0.256359E+02   0.924383E+01
   0.125000E+00   0.000000E+00  -0.189981E+02   0.000000E+00  -0.379922E+00  -0.193780E+02   0.297478E+02   0.103698E+02
   0.150000E+00   0.000000E+00  -0.219686E+02   0.000000E+00  -0.132804E+00  -0.221014E+02   0.335925E+02   0.114911E+02
   0.175000E+00   0.000000E+00  -0.248551E+02   0.000000E+00   0.275461E+00  -0.245797E+02   0.372283E+02   0.126486E+02
   0.200000E+00   0.000000E+00  -0.276568E+02   0.000000E+00   0.826954E+00  -0.268298E+02   0.406944E+02   0.138645E+02
   0.250000E+00   0.000000E+00  -0.329668E+02   0.000000E+00   0.225617E+01  -0.307107E+02   0.472217E+02   0.165110E+02
   0.300000E+00   0.000000E+00  -0.379510E+02   0.000000E+00   0.410401E+01  -0.338470E+02   0.533247E+02   0.194778E+02
   0.350000E+00   0.000000E+00  -0.427697E+02   0.000000E+00   0.640903E+01  -0.363606E+02   0.590962E+02   0.227356E+02
   0.400000E+00   0.000000E+00  -0.474677E+02   0.000000E+00   0.913727E+01  -0.383305E+02   0.645983E+02   0.262678E+02
