# From G. Grams, W. Ryssens, G. Scamps, S. Goriely, N. Chamel, Eur. Phys. J. A 59, 270 (2023)
# LP  BSkG3
G0    0.20046
G0p   0.97812
kF    1.3270
ms/m  0.8586
Ksat  242.56
Esym  31.00

