Qubit,T1,T2,gate_fidelity,preparation_fidelity,Readout_frequency,work_frequency,gate_duration,q0,q1
0,199.27,370.5294,0.9999,1.0,5.0352,0.0,0.0,0.994,0.9916
1,45.0804,59.9078,0.9997,1.0,5.1551,0.0,0.0,0.9894,0.99
2,146.1746,259.0179,0.9999,1.0,5.2563,0.0,0.0,0.9874,0.9658
3,135.2838,31.1792,0.9997,1.0,5.0974,0.0,0.0,0.9862,0.9926
4,135.0485,15.8399,0.9999,1.0,5.0728,0.0,0.0,0.989,0.9952
5,132.0036,175.144,0.9998,1.0,5.207,0.0,0.0,0.9898,0.9956
6,174.8019,253.5327,0.9998,1.0,5.0205,0.0,0.0,0.9774,0.9198
7,121.1535,228.3099,0.9998,1.0,4.9191,0.0,0.0,0.989,0.988
8,121.8063,259.7383,0.9999,1.0,5.0313,0.0,0.0,0.9906,0.991
9,161.3947,165.4219,0.9998,1.0,4.8748,0.0,0.0,0.9924,0.9952
10,196.8489,255.1136,0.9996,1.0,4.8212,0.0,0.0,0.9898,0.9908
11,188.7472,213.1057,0.9998,1.0,5.1621,0.0,0.0,0.9122,0.8968
12,239.687,166.1149,0.9999,1.0,4.7185,0.0,0.0,0.9772,0.9828
13,193.7159,309.6976,0.9997,1.0,4.963,0.0,0.0,0.8774,0.889
14,121.9383,23.5614,0.999,1.0,5.0466,0.0,0.0,0.9706,0.993
15,186.8855,40.657,0.9994,1.0,4.9236,0.0,0.0,0.9736,0.9638
16,160.4638,276.6165,0.9996,1.0,4.8832,0.0,0.0,0.9848,0.99
17,122.4005,33.855,0.9992,1.0,5.2225,0.0,0.0,0.9824,0.9814
18,199.804,133.0602,0.9994,1.0,4.9677,0.0,0.0,0.98,0.9896
19,6.8719,9.2336,0.9981,1.0,5.0025,0.0,0.0,0.9784,0.997
20,162.8661,132.3067,0.9999,1.0,5.0958,0.0,0.0,0.9942,0.9956
21,86.5341,29.5298,0.9998,1.0,4.8393,0.0,0.0,0.9922,0.997
22,116.3955,97.449,0.9998,1.0,4.9195,0.0,0.0,0.9854,0.9902
23,173.7324,99.6385,0.9998,1.0,4.9203,0.0,0.0,0.9832,0.9912
24,132.3849,39.8179,0.9998,1.0,4.9917,0.0,0.0,0.9908,0.992
25,93.8721,99.2699,0.9998,1.0,4.8129,0.0,0.0,0.9906,0.9906
26,184.7872,36.1798,0.9998,1.0,5.0196,0.0,0.0,0.9878,0.9946
