l0,l1,fidelity,cs0,cs1
0,6,0,-14863822326.1,3949970777.3
0,7,0,-17075102279.4,4042139099.9
1,7,0,-17072472238.5,4093045002.9
1,8,0,-22007890122.7,4523144360.0
3,9,0,-33348334307.4,5120631209.8
3,10,0,-21082758620.7,4917241379.3
4,10,0,-12974050263,3729398012.9
4,11,0,-16024956166,4388836937.5
6,12,0,-15924897720.6,4344067796.6
7,13,0,-17346580946.8,4025832846.3
7,12,0,-21167270602,4667212156.6
8,14,0,-13944827586.2,5075862069
8,13,0,-23646522501.5,4429339567.5
9,15,0,-35874108708.4,4967270602
9,14,0,-17090531852.7,5557744009.4
10,16,0,-45104324956.2,5019812974.9
10,15,0,-35756867329,4753477498.5
11,16,0,-28306078316.8,5024956166
12,18,0,-17881998831.1,4283518410.3
12,19,0,-18283635301,4074985388.7
13,19,0,-20348334307.4,4299941554.6
13,20,0,-31985330216.2,4980187025.1
14,20,0,-18084511981.3,4267212156.6
14,21,0,-15493161893.6,3962010520.2
15,21,0,-28465575686.7,4644769140.9
15,22,0,-18880245470.5,4264582115.7
16,22,0,-42919871420.2,5445645821.2
16,23,0,-22372413793.1,6055172413.8
18,24,0,-40569783752.2,4768147282.3
19,25,0,-25770660432.5,5746580946.8
19,24,0,-27394739918.2,5715604909.4
20,26,0,-22584570426.7,4360257159.6
20,25,0,-34543191116.3,5118877849.2
21,27,0,-39081122150.8,4843015780.2
21,26,0,-21184570426.7,4187843366.5
22,28,0,-27838866160.1,4492168322.6
22,27,0,-25098305084.7,4460315604.9
23,29,0,-12505961426.1,3921624780.8
23,28,0,-12505961426.1,3859555815.3
24,30,0,-13653419053.2,3822443015.8
24,31,0,-27175920514.3,4630976037.4
25,31,0,-29656925774.4,5067212156.6
25,32,0,-53419053185.3,5532670952.7
26,32,0,-22150087668,4277498538.9
26,33,0,-26064699006.4,4487025131.5
27,33,0,-18634482758.6,5620689655.2
27,34,0,-31390473407.4,5954354178.8
28,34,0,-18500818235,5333664523.7
30,36,0,-27881881940.4,5745704266.5
31,37,0,-23134541204,4396493278.8
31,36,0,-16543191116.3,4187843366.5
32,38,0,-20251782583.3,4251665692.6
32,37,0,-20800993571,4281765049.7
33,39,0,-21617299824.7,4396493278.8
33,38,0,-23196610169.5,4637872589.1
34,40,0,-18538807714.8,4578433664.5
34,39,0,-15650789012.3,4031969608.4
36,42,0,-15341320865,4051782583.3
36,43,0,-14332787843.4,5074108708.4
37,43,0,-20213793103.4,4234482758.6
37,44,0,-29574167153.7,4660315604.9
38,44,0,-19492285213.3,4376680303.9
38,45,0,-27499181765,4680128579.8
39,45,0,-28499181765,4459438924.6
39,46,0,-50315488018.7,5105201636.5
40,46,0,-20534424313.3,5962127410.9
40,47,0,-59055172413.8,5165517241.4
41,47,0,-23196610169.5,4396493278.8
42,48,0,-21767387492.7,4232612507.3
43,49,0,-21181063705.4,4543074225.6
43,48,0,-34907831677.4,5168030391.6
44,50,0,-20133664523.7,4204266510.8
44,49,0,-13192343658.7,3718001168.9
45,51,0,-10797369959.1,3726767971.9
45,50,0,-15276621858.6,4068205727.6
46,52,0,-14767270602,3770660432.5
46,51,0,-11701694915.3,3677615429.6
47,53,0,-13427586206.9,3903448275.9
47,52,0,-19010403272.9,4168907071.9
48,54,0,-18360374050.3,4315488018.7
48,55,0,-17588836937.5,4218059614.3
49,55,0,-22762127410.9,4617182934
49,56,0,-25663822326.1,4487901811.8
50,56,0,-33020689655.2,4944827586.2
50,57,0,-59018936294.6,5470718877.8
51,57,0,-17537054354.2,5428462887.2
51,58,0,-21262945645.8,5378433664.5
52,58,0,-16669842197.5,5281881940.4
54,60,0,-20659438924.6,5526767971.9
