Qubit,T1,T2,gate_fidelity,preparation_fidelity,Readout_frequency,work_frequency,gate_duration,q0,q1
0,11.04,15.51,0.9976,1.0,0.923,0.0,0.0,1.0,1.0
1,11.18,8.778,0.9971,1.0,0.963,0.0,0.0,1.0,1.0
2,12.04,16.12,0.9868,1.0,0.884,0.0,0.0,1.0,1.0
3,18.05,14.51,0.998,1.0,0.957,0.0,0.0,1.0,1.0
4,10.8,5.405,0.9959,1.0,0.868,0.0,0.0,1.0,1.0
5,14.64,14.37,0.9975,1.0,0.982,0.0,0.0,1.0,1.0
6,16.31,6.83,0.9979,1.0,0.967,0.0,0.0,1.0,1.0
7,7.525,13.8,0.9946,1.0,0.952,0.0,0.0,1.0,1.0
8,13.6,15.59,0.9968,1.0,0.957,0.0,0.0,1.0,1.0
9,8.751,12.9,0.9892,1.0,0.965,0.0,0.0,1.0,1.0
10,13.61,13.84,0.9951,1.0,0.94,0.0,0.0,1.0,1.0
11,12.88,8.221,0.9881,1.0,0.929,0.0,0.0,1.0,1.0
12,12.93,13.25,0.9962,1.0,0.957,0.0,0.0,1.0,1.0
13,12.79,6.793,0.9971,1.0,0.97,0.0,0.0,1.0,1.0
14,17.02,13.34,0.9896,1.0,0.958,0.0,0.0,1.0,1.0
15,12.12,14.13,0.9923,1.0,0.977,0.0,0.0,1.0,1.0
16,8.938,3.469,0.9533,1.0,0.825,0.0,0.0,1.0,1.0
17,15.67,12.65,0.9959,1.0,0.899,0.0,0.0,1.0,1.0
18,13.61,17.12,0.9919,1.0,0.967,0.0,0.0,1.0,1.0
19,14.68,18.79,0.9487,1.0,0.937,0.0,0.0,1.0,1.0
20,18.87,20.58,0.9962,1.0,0.971,0.0,0.0,1.0,1.0
21,15.65,15.47,0.9965,1.0,0.856,0.0,0.0,1.0,1.0
22,13.17,8.29,0.9893,1.0,0.944,0.0,0.0,1.0,1.0
23,11.65,10.83,0.9542,1.0,0.955,0.0,0.0,1.0,1.0
24,16.28,12.29,0.9942,1.0,0.967,0.0,0.0,1.0,1.0
25,12.11,15.91,0.9938,1.0,0.98,0.0,0.0,1.0,1.0
26,13.93,11.82,0.9784,1.0,0.98,0.0,0.0,1.0,1.0
27,11.18,10.92,0.9903,1.0,0.9,0.0,0.0,1.0,1.0
28,11.04,9.366,0.9964,1.0,0.943,0.0,0.0,1.0,1.0
29,12.91,15.55,0.996,1.0,0.941,0.0,0.0,1.0,1.0
30,19.33,6.319,0.99,1.0,0.912,0.0,0.0,1.0,1.0
31,7.255,9.28,0.9905,1.0,0.953,0.0,0.0,1.0,1.0
32,22.25,15.22,0.997,1.0,0.942,0.0,0.0,1.0,1.0
33,8.207,11.14,0.9821,1.0,0.961,0.0,0.0,1.0,1.0
34,6.25,18.19,0.9879,1.0,0.903,0.0,0.0,1.0,1.0
35,7.826,10.34,0.986,1.0,0.901,0.0,0.0,1.0,1.0
36,11.42,13.3,0.9909,1.0,0.905,0.0,0.0,1.0,1.0
37,10.77,11.14,0.9942,1.0,0.965,0.0,0.0,1.0,1.0
38,15.19,6.074,0.9961,1.0,0.968,0.0,0.0,1.0,1.0
