#     rho          V(S=0,I=0)      V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total        FFG             E_total

   0.100000E-01   0.132874E+00  -0.221358E+01  -0.504723E+01   0.130153E-01  -0.711492E+01   0.348172E+01  -0.363321E+01
   0.500000E-01   0.105774E+01  -0.725908E+01  -0.124306E+02  -0.857111E-01  -0.187177E+02   0.101806E+02  -0.853706E+01
   0.750000E-01   0.179150E+01  -0.956309E+01  -0.155111E+02  -0.101694E+00  -0.233844E+02   0.133404E+02  -0.100440E+02
   0.100000E+00   0.258373E+01  -0.116643E+02  -0.187459E+02  -0.112279E+00  -0.279387E+02   0.161607E+02  -0.117780E+02
   0.125000E+00   0.343586E+01  -0.135382E+02  -0.215354E+02  -0.274083E-01  -0.316652E+02   0.187528E+02  -0.129123E+02
   0.150000E+00   0.433927E+01  -0.152175E+02  -0.241001E+02   0.150838E+00  -0.348275E+02   0.211765E+02  -0.136510E+02
   0.175000E+00   0.527672E+01  -0.167169E+02  -0.264868E+02   0.417820E+00  -0.375091E+02   0.234685E+02  -0.140406E+02
   0.200000E+00   0.624094E+01  -0.180530E+02  -0.287465E+02   0.787575E+00  -0.397710E+02   0.256535E+02  -0.141175E+02
   0.250000E+00   0.824164E+01  -0.202987E+02  -0.330111E+02   0.186272E+01  -0.432054E+02   0.297683E+02  -0.134372E+02
   0.300000E+00   0.102712E+02  -0.220305E+02  -0.370291E+02   0.334991E+01  -0.454385E+02   0.336156E+02  -0.118229E+02
   0.350000E+00   0.122296E+02  -0.232725E+02  -0.409598E+02   0.514577E+01  -0.468568E+02   0.372540E+02  -0.960287E+01
   0.400000E+00   0.140294E+02  -0.240686E+02  -0.449559E+02   0.718652E+01  -0.478086E+02   0.407224E+02  -0.708614E+01
