#      rho         V(S=0,I=0)      V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)        V_Total        FFG           E_total

   0.100000E-01   0.130448E+00  -0.230080E+01  -0.520025E+01   0.477808E-02  -0.736583E+01   0.348172E+01  -0.388411E+01
   0.500000E-01   0.105431E+01  -0.746570E+01  -0.127423E+02  -0.123322E+00  -0.192770E+02   0.101806E+02  -0.909642E+01
   0.750000E-01   0.179483E+01  -0.983222E+01  -0.160758E+02  -0.160840E+00  -0.242741E+02   0.133404E+02  -0.109337E+02
   0.100000E+00   0.260370E+01  -0.119671E+02  -0.192594E+02  -0.153156E+00  -0.287759E+02   0.161607E+02  -0.126152E+02
   0.125000E+00   0.348095E+01  -0.138760E+02  -0.221440E+02  -0.516132E-01  -0.325907E+02   0.187528E+02  -0.138379E+02
   0.150000E+00   0.441998E+01  -0.155818E+02  -0.247892E+02   0.148824E+00  -0.358021E+02   0.211765E+02  -0.146256E+02
   0.175000E+00   0.540540E+01  -0.170982E+02  -0.272411E+02   0.448107E+00  -0.384859E+02   0.234685E+02  -0.150173E+02
   0.200000E+00   0.643531E+01  -0.184418E+02  -0.295414E+02   0.863319E+00  -0.406845E+02   0.256535E+02  -0.150310E+02
   0.250000E+00   0.863566E+01  -0.206594E+02  -0.337222E+02   0.207240E+01  -0.436735E+02   0.297683E+02  -0.139052E+02
   0.300000E+00   0.109758E+02  -0.223107E+02  -0.375014E+02   0.373767E+01  -0.450986E+02   0.336156E+02  -0.114829E+02
   0.350000E+00   0.133961E+02  -0.233960E+02  -0.409724E+02   0.578822E+01  -0.451841E+02   0.372540E+02  -0.793017E+01
   0.400000E+00   0.158545E+02  -0.239653E+02  -0.442591E+02   0.819346E+01  -0.441765E+02   0.407224E+02  -0.345403E+01
