 #      rho         V(S=0,I=0)      V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)     V_Total        FFG           E_total

    0.50000E-01    0.30000E+00   -0.90800E+01   -0.11170E+02   -0.47000E+00   -0.20420E+02    0.10180E+02   -0.10240E+02
    0.75000E-01    0.85000E+00   -0.11020E+02   -0.14620E+02   -0.60000E+00   -0.25390E+02    0.13340E+02   -0.12050E+02
    0.10000E+00    0.15100E+01   -0.12870E+02   -0.17590E+02   -0.71000E+00   -0.29660E+02    0.16160E+02   -0.13500E+02
    0.12500E+00    0.21200E+01   -0.14820E+02   -0.20320E+02   -0.72000E+00   -0.33740E+02    0.18750E+02   -0.14990E+02
    0.15000E+00    0.27900E+01   -0.16550E+02   -0.22760E+02   -0.60000E+00   -0.37120E+02    0.21180E+02   -0.15940E+02
    0.17500E+00    0.35000E+01   -0.18090E+02   -0.24980E+02   -0.35000E+00   -0.39920E+02    0.23470E+02   -0.16450E+02
    0.20000E+00    0.42300E+01   -0.19440E+02   -0.27020E+02    0.50000E-01   -0.42180E+02    0.25650E+02   -0.16530E+02
    0.25000E+00    0.58000E+01   -0.21560E+02   -0.30570E+02    0.12900E+01   -0.45040E+02    0.29770E+02   -0.15270E+02
    0.30000E+00    0.74000E+01   -0.22970E+02   -0.33640E+02    0.30700E+01   -0.46140E+02    0.33620E+02   -0.12520E+02
    0.35000E+00    0.89900E+01   -0.23740E+02   -0.36270E+02    0.56200E+01   -0.45400E+02    0.37250E+02   -0.81500E+01
    0.40000E+00    0.10560E+02   -0.23780E+02   -0.38370E+02    0.89600E+01   -0.42630E+02    0.40720E+02   -0.19100E+01
