#     rho           V(S=0,I=0)     V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total         FFG           E_total

   0.100000E-01   0.132893E+00  -0.220772E+01  -0.502626E+01   0.126614E-01  -0.708843E+01   0.348172E+01  -0.360671E+01
   0.500000E-01   0.105800E+01  -0.724476E+01  -0.124087E+02  -0.902812E-01  -0.186857E+02   0.101806E+02  -0.850510E+01
   0.750000E-01   0.179206E+01  -0.954476E+01  -0.154862E+02  -0.109976E+00  -0.233489E+02   0.133404E+02  -0.100086E+02
   0.100000E+00   0.258469E+01  -0.116424E+02  -0.187181E+02  -0.125072E+00  -0.279008E+02   0.161607E+02  -0.117401E+02
   0.125000E+00   0.343727E+01  -0.135129E+02  -0.215062E+02  -0.452924E-01  -0.316271E+02   0.187528E+02  -0.128743E+02
   0.150000E+00   0.434115E+01  -0.151891E+02  -0.240702E+02   0.127384E+00  -0.347907E+02   0.211765E+02  -0.136142E+02
   0.175000E+00   0.527926E+01  -0.166853E+02  -0.264563E+02   0.388425E+00  -0.374739E+02   0.234685E+02  -0.140054E+02
   0.200000E+00   0.624412E+01  -0.180186E+02  -0.287163E+02   0.751660E+00  -0.397391E+02   0.256535E+02  -0.140856E+02
   0.250000E+00   0.824619E+01  -0.202592E+02  -0.329839E+02   0.181212E+01  -0.431847E+02   0.297683E+02  -0.134164E+02
   0.300000E+00   0.102774E+02  -0.219865E+02  -0.370063E+02   0.328272E+01  -0.454327E+02   0.336156E+02  -0.118171E+02
   0.350000E+00   0.122373E+02  -0.232248E+02  -0.409437E+02   0.505961E+01  -0.468715E+02   0.372540E+02  -0.961753E+01
   0.400000E+00   0.140384E+02  -0.240180E+02  -0.449502E+02   0.707842E+01  -0.478514E+02   0.407224E+02  -0.712893E+01
