#      rho           V(S=0,I=0)    V(S=0,I=1)    V(S=1,I=0)     V(S=1,I=1)      V_Total          FFG           E_total

   0.100000E-01   0.131007E+00  -0.230446E+01  -0.528226E+01   0.933108E-02  -0.744638E+01   0.348172E+01  -0.396466E+01
   0.500000E-01   0.105229E+01  -0.751704E+01  -0.127504E+02  -0.102603E+00  -0.193177E+02   0.101806E+02  -0.913712E+01
   0.750000E-01   0.179200E+01  -0.987146E+01  -0.159330E+02  -0.130815E+00  -0.241433E+02   0.133404E+02  -0.108030E+02
   0.100000E+00   0.260204E+01  -0.120058E+02  -0.189468E+02  -0.113012E+00  -0.284636E+02   0.161607E+02  -0.123029E+02
   0.125000E+00   0.348274E+01  -0.139144E+02  -0.217442E+02  -0.173598E-01  -0.321932E+02   0.187528E+02  -0.134404E+02
   0.150000E+00   0.442985E+01  -0.156199E+02  -0.243099E+02   0.173158E+00  -0.353268E+02   0.211765E+02  -0.141503E+02
   0.175000E+00   0.542690E+01  -0.171498E+02  -0.267768E+02   0.438507E+00  -0.380612E+02   0.234685E+02  -0.145927E+02
   0.200000E+00   0.647558E+01  -0.184993E+02  -0.290119E+02   0.827947E+00  -0.402077E+02   0.256535E+02  -0.145542E+02
   0.250000E+00   0.873163E+01  -0.207422E+02  -0.331145E+02   0.195920E+01  -0.431659E+02   0.297683E+02  -0.133976E+02
   0.300000E+00   0.111564E+02  -0.224098E+02  -0.367929E+02   0.351693E+01  -0.445294E+02   0.336156E+02  -0.109138E+02
   0.350000E+00   0.136899E+02  -0.235234E+02  -0.402191E+02   0.539366E+01  -0.446591E+02   0.372540E+02  -0.740510E+01
   0.400000E+00   0.162993E+02  -0.241106E+02  -0.434157E+02   0.757577E+01  -0.436513E+02   0.407224E+02  -0.292882E+01
