# Set           Rn (fm)      Rp (fm)      Rn-Rp (fm)
TW99            5.6122       5.4167       0.1955
DDME1           5.6648       5.4628       0.2020
DDME2           5.6519       5.4598       0.1921
PKDD            5.6990       5.4435       0.2555
DDMEd           5.6373       5.4568       0.1805
