# den   e2a      e2a_err
0.00    0.00     0.00
0.25   -7.34711  5.1723e-01
0.5   -11.59815  3.3735e-01
0.75  -14.47240  1.7310e-01
1.    -16.00000  1.0000e-01
1.25  -14.98095  5.0000e-01
1.5   -13.30740  5.1210e-01
1.75  -10.82559  9.6591e-01
2.     -7.75159  2.2010e+0
2.25   -3.48707  3.3239e+00
2.5     0.96917  4.7973e+00
2.75    6.16256  6.7866e+00
3.     11.80167  9.2798e+00
3.25   19.33818  1.0453e+01
3.5    26.33665  1.1712e+01
3.75   34.55970  1.2777e+01
4.     42.45500  1.3894e+01

