# ref: U. Garg and G. Col\`o, Prog. Part. Nucl. Phys. 101, 55 (2018)
# Z A m_1/m_-1 delta+ delta-
40 90 17.58 0.06 0.04 17.66 0.07 0.07
40 92 17.71 0.09 0.07 17.52 0.04 0.04
40 94 15.75 0.27 0.15
50 112 15.23 0.26 0.14 16.10 0.10 0.10
50 114 15.90 0.10 0.10
50 116 15.70 0.10 0.10
50 118 15.60 0.10 0.10
50 120 15.50 0.10 0.10
50 122 15.20 0.10 0.10
50 124 14.33 0.17 0.14 15.10 0.10 0.10
50 132 14.50 0.10 0.10
82 204 13.7 0.10 0.10
82 206 13.6 0.10 0.10
82 208 13.5 0.10 0.10

