Age,MonthlyCharges,TotalCharges,Tenure,Contract,PaymentMethod,InternetService,HasPhoneService,HasMultipleLines,SeniorCitizen,Churn
63,39.54733114588349,-275.87878359602615,29,Month-to-month,Bank transfer,Fiber optic,1,0,0,0
20,74.69860616651704,6720.632238876745,47,One year,Bank transfer,No,1,1,0,0
46,56.34221021910446,1483.8578679229577,44,Two year,Bank transfer,Fiber optic,0,1,1,0
52,44.01485782783904,590.3754102761895,68,One year,Mailed check,Fiber optic,1,1,0,0
56,65.58427703397197,5563.461351848373,61,One year,Mailed check,DSL,0,1,1,0
35,87.58085249800007,-520.8381608926607,42,Month-to-month,Mailed check,No,1,1,0,1
37,69.0267993403924,2681.1077108343534,22,One year,Electronic check,DSL,1,0,0,0
60,63.183600467735474,-432.2066239110076,36,Two year,Bank transfer,No,1,1,0,0
77,53.897474333522375,1208.7480454688343,52,Month-to-month,Electronic check,Fiber optic,1,0,0,0
75,84.8164138986042,2458.156681881668,65,Two year,Bank transfer,Fiber optic,0,1,0,0
40,99.81868493743085,665.4909606722666,21,Two year,Bank transfer,No,1,0,1,1
51,44.60318922329564,984.2543319304648,52,Two year,Mailed check,DSL,1,1,0,0
50,34.88323940934495,2055.955391199098,42,Month-to-month,Mailed check,DSL,1,1,0,0
67,53.290138663823775,2031.451375671917,60,Two year,Credit card,Fiber optic,1,1,1,0
65,60.98096542686285,4841.581280868773,25,Two year,Electronic check,DSL,0,1,0,0
27,57.904370827502916,393.8913227891412,66,One year,Electronic check,Fiber optic,1,1,1,0
50,51.49700178302896,4343.376738364953,34,One year,Credit card,No,0,0,0,0
64,34.55723052875054,352.86537740073334,60,One year,Bank transfer,Fiber optic,1,0,0,0
50,70.14514890044148,293.9113064707221,28,Month-to-month,Mailed check,Fiber optic,1,0,0,1
65,48.68128697099846,2777.709681450958,47,One year,Credit card,No,0,1,0,0
43,24.15657696174888,1131.3045304030518,67,Month-to-month,Bank transfer,DSL,1,0,0,0
37,33.86483395887186,-1175.5057985090755,7,Two year,Electronic check,DSL,1,0,0,0
32,83.8405698045313,2185.4416317179557,53,Month-to-month,Electronic check,DSL,1,1,0,1
