# From Armen Sedrakian, Herbert Müther, Peter Schuck, Phys Rev C 76, 055805 (2007)
# LP  Bonn C
# kF m*/m vA   vS   Gap  Tc
# fm-3    dens. stt MeV  MeV
0.4 1.02 -0.56 0.55 1.54 0.85
0.6 1.00 -0.50 0.49 2.60 1.44
0.8 0.97 -0.47 0.44 3.15 1.78
1.0 0.94 -0.45 0.41 3.09 1.80
1.2 0.92 -0.43 0.40 2.44 1.46
1.4 0.88 -0.41 0.40 1.41 0.88
1.6 0.84 -0.36 0.39 0.57 0.38

