# From M. Baldo and L.S. Ferreira, Phys. Rev. C 50, 1887 (1994)
# LP  v14             Reid            v14
#     Gap     Cont    Gap     Cont    Cont
F0   -0.267  -0.501  -0.118  -0.482  -0.378
F1   -0.791  -0.575  -0.991  -0.740  -0.625
F2   -0.466  -0.324  -0.392  -0.211  -0.395
F3   -0.172  -0.122  -0.133  -0.072  -0.143
F4   -0.121  -0.085  -0.101  -0.054  -0.102
F5   -0.068  -0.048  -0.054  -0.029  -0.057
F6   -0.055  -0.038  -0.045  -0.024  -0.046
F7   -0.036  -0.026  -0.029  -0.016  -0.030
G0    0.017   0.079   0.019   0.076   0.066
G1    0.212   0.281   0.262   0.336   0.324
G2    0.189   0.197   0.172   0.177   0.238
G3    0.073   0.082   0.059   0.071   0.097
G4    0.048   0.052   0.042   0.046   0.062
F0p   0.438   0.356   0.477   0.403   0.404
F1p   0.606   0.301   0.724   0.351   0.357
F2p   0.247   0.108   0.199   0.034   0.130
F3p   0.110   0.048   0.085   0.012   0.057
F4p   0.067   0.029   0.054   0.009   0.035
G0p   1.363   1.169   1.335   1.084   1.467
G1p   0.442   0.273   0.376   0.159   0.346
G2p   0.061   0.013   0.080   0.019   0.013
G3p   0.042   0.017   0.051   0.019   0.021
G4p   0.018   0.005   0.024   0.007   0.005
kF    1.400   1.400   1.400   1.400   1.400
ms/m  0.625   0.586   0.624   0.564   0.700
Ksat  286.0   207.7   344.8   223.9   217.0
Esym  31.2    31.4    32.1    33.7    27.2
Ms/M  0.736   0.808   0.670   0.753   0.792
Sum1  0.662  -0.041   0.664  -0.176   0.477
Sum2  0.847   0.012   0.894  -0.177   0.538
