# from Danielewicz and Lee, NPA 922, 1 (2014)
# Esym  Lsym   Lsym_err
# (MeV) (MeV)  (MeV)
  28.0  15.0   0.0
  28.8  16.5   8.5
  31.0  41.25 11.25
  33.0  63.75 13.75
  34.8  84.0  16.0
  37.5  95.0   0.0
