# Negele Vautherin crust NPA (1973).
# nb         N     Z      mu_n    mu_p     rho_g       x       E/A-m_n     E_gas/A-m_n
# cm-3                    MeV     MeV      fm-3                MeV         MeV
 2.79e35     140   40     0.2     -26.8    4.00e-5   0.53    -1.425       0.436
 4.00e35     160   40     0.3     -29.4    9.70e-5   0.53    -0.962       0.543
 6.00e35     210   40     0.6     -29.5    2.60e-4   0.53    -0.462       0.692
 8.79e35     280   40     1.0     -28.5    4.80e-4   0.53    -0.050       0.865
 1.59e36     460   40     1.4     -29.4    1.20e-3   0.52     0.541       1.214
 3.73e36     900   50     2.6     -33.6    3.00e-3   0.46     1.465       1.926
 5.77e36    1050   50     3.3     -34.5    4.70e-3   0.45     1.996       2.408
 8.91e36    1300   50     4.2     -35.8    7.80e-3   0.44     2.610       2.981
 2.04e37    1750   50     6.5     -43.6    1.84e-2   0.35     4.097       4.422
 4.75e37    1460   40    10.9     -54.0    4.36e-2   0.28     6.428       6.660
 7.89e37     950   32    15.0     -68.3    7.37e-2   0.16     8.611       8.657


# rho_g is the approximate density of the exterior neutron gas
# x is the approximate ratio of protons to neutrons in nuclei
