Qubit,T1,T2,gate_fidelity,preparation_fidelity,Readout_frequency,work_frequency,gate_duration,q0,q1
0,26.79,2.33,1.0,1.0,6.663,5.31,0.0,1.0,1.0
1,29.38,1.82,1.0,1.0,6.646,4.681,0.0,1.0,1.0
2,58.96,2.31,1.0,1.0,6.627,5.367,0.0,1.0,1.0
3,18.92,1.61,1.0,1.0,6.608,4.702,0.0,1.0,1.0
4,43.38,2.49,1.0,1.0,6.593,5.299,0.0,1.0,1.0
5,47.37,2.14,1.0,1.0,6.57,4.531,0.0,1.0,1.0
6,37.88,1.97,1.0,1.0,6.554,5.255,0.0,1.0,1.0
7,19.5,1.33,1.0,1.0,6.531,4.627,0.0,1.0,1.0
8,31.51,1.72,1.0,1.0,6.51,5.275,0.0,1.0,1.0
9,23.43,3.56,1.0,1.0,6.49,4.687,0.0,1.0,1.0
