Qubit,T1,T2,gate_fidelity,preparation_fidelity,Readout_frequency,work_frequency,gate_duration,q0,q1
0,88.1134,95.5145,0.9998,1.0,5.1135,0.0,0.0,0.982,0.9922
1,126.9781,142.2168,0.9996,1.0,5.1607,0.0,0.0,0.9784,0.9936
2,79.1122,108.1368,0.9996,1.0,5.3105,0.0,0.0,0.9616,0.984
3,66.5551,73.1689,0.9998,1.0,5.4695,0.0,0.0,0.9782,0.9928
4,100.2625,130.4538,0.9998,1.0,5.3534,0.0,0.0,0.9724,0.99
5,85.3496,87.2863,0.9805,1.0,5.3032,0.0,0.0,0.9612,0.9916
6,100.1585,15.5469,0.9998,1.0,5.1365,0.0,0.0,0.9796,0.9974
7,105.3146,128.577,0.9998,1.0,5.2028,0.0,0.0,0.9666,0.9828
8,110.8928,130.9934,0.9997,1.0,5.1745,0.0,0.0,0.9628,0.989
9,127.0944,111.012,0.9996,1.0,5.2537,0.0,0.0,0.9452,0.9914
10,126.7689,120.096,0.9996,1.0,5.4268,0.0,0.0,0.9704,0.9946
11,56.7755,59.2837,0.9996,1.0,5.3898,0.0,0.0,0.9528,0.9936
12,106.2626,104.7403,0.9998,1.0,5.2637,0.0,0.0,0.975,0.9908
13,124.5942,91.2843,0.9979,1.0,5.0379,0.0,0.0,0.9734,0.9976
14,97.8817,93.577,0.9997,1.0,5.205,0.0,0.0,0.9608,0.9922
15,120.9933,177.8884,0.9997,1.0,5.1263,0.0,0.0,0.9596,0.9888
