l0,l1,fidelity,cs0,cs1
0,1,0.9879,0.0,0.0
1,2,0.975,0.0,0.0
2,3,0.975,0.0,0.0
2,15,0.971,0.0,0.0
3,4,0.978,0.0,0.0
4,5,0.982,0.0,0.0
10,11,0.994,0.0,0.0
10,23,0.96,0.0,0.0
13,14,0.97,0.0,0.0
14,15,0.974,0.0,0.0
15,16,0.978,0.0,0.0
16,17,0.982,0.0,0.0
17,18,0.987,0.0,0.0
17,30,0.979,0.0,0.0
19,20,0.99,0.0,0.0
20,21,0.9875,0.0,0.0
21,22,0.9924,0.0,0.0
21,34,0.975,0.0,0.0
22,23,0.9911,0.0,0.0
25,38,0.977,0.0,0.0
26,27,0.986,0.0,0.0
28,29,0.9926,0.0,0.0
28,41,0.966,0.0,0.0
29,30,0.989,0.0,0.0
34,35,0.99,0.0,0.0
36,49,0.976,0.0,0.0
39,52,0.971,0.0,0.0
41,42,0.96,0.0,0.0
42,43,0.988,0.0,0.0
43,44,0.95,0.0,0.0
43,56,0.982,0.0,0.0
44,45,0.97,0.0,0.0
45,46,0.987,0.0,0.0
46,47,0.979,0.0,0.0
47,48,0.989,0.0,0.0
47,60,0.94,0.0,0.0
48,49,0.994,0.0,0.0
54,55,0.984,0.0,0.0
54,67,0.975,0.0,0.0
55,56,0.988,0.0,0.0
56,57,0.986,0.0,0.0
57,58,0.9863,0.0,0.0
58,59,0.9924,0.0,0.0
58,71,1,0.0,0.0
59,60,0.985,0.0,0.0
60,61,0.973,0.0,0.0
61,62,0.9893,0.0,0.0
62,75,0.941,0.0,0.0
65,78,0.9883,0.0,0.0
67,68,0.987,0.0,0.0
68,69,0.969,0.0,0.0
69,70,0.98,0.0,0.0
69,82,0.965,0.0,0.0
70,71,0.979,0.0,0.0
71,72,0.975,0.0,0.0
72,73,0.979,0.0,0.0
73,86,0.93,0.0,0.0
75,76,0.984,0.0,0.0
76,77,0.99,0.0,0.0
77,90,0.955,0.0,0.0
78,79,0.983,0.0,0.0
79,80,0.986,0.0,0.0
80,81,0.9909,0.0,0.0
80,93,0.951,0.0,0.0
81,82,0.9929,0.0,0.0
82,83,0.981,0.0,0.0
83,84,1,0.0,0.0
84,85,0.997,0.0,0.0
85,86,0.999,0.0,0.0
86,87,0.9909,0.0,0.0
87,88,0.986,0.0,0.0
88,89,0.96,0.0,0.0
88,101,0.93,0.0,0.0
89,90,0.989,0.0,0.0
91,92,0.986,0.0,0.0
91,104,0.98,0.0,0.0
92,93,0.9933,0.0,0.0
93,94,0.91,0.0,0.0
94,95,0.982,0.0,0.0
95,96,0.987,0.0,0.0
96,97,0.981,0.0,0.0
97,98,0.9933,0.0,0.0
104,105,0.9913,0.0,0.0
105,106,0.9924,0.0,0.0
106,119,0.973,0.0,0.0
114,115,0.993,0.0,0.0
114,127,0.973,0.0,0.0
117,130,0.98,0.0,0.0
119,120,0.983,0.0,0.0
120,121,0.979,0.0,0.0
121,122,0.986,0.0,0.0
122,123,0.989,0.0,0.0
123,124,0.972,0.0,0.0
124,125,0.9914,0.0,0.0
125,138,0.96,0.0,0.0
126,127,0.969,0.0,0.0
127,128,0.979,0.0,0.0
128,129,0.98,0.0,0.0
129,142,0.978,0.0,0.0
132,133,0.985,0.0,0.0
132,145,0.968,0.0,0.0
135,136,0.68,0.0,0.0
137,138,0.97,0.0,0.0
138,139,0.982,0.0,0.0
139,140,0.987,0.0,0.0
140,153,0.985,0.0,0.0
143,144,0.987,0.0,0.0
144,145,0.972,0.0,0.0
145,146,0.976,0.0,0.0
146,147,0.97,0.0,0.0
151,152,0.982,0.0,0.0
153,154,0.968,0.0,0.0
154,155,0.986,0.0,0.0
