Qubit,T1,T2,gate_fidelity,preparation_fidelity,Readout_frequency,work_frequency,gate_duration,q0,q1
0,35.2,4,0.9973,1.0,4.965,0.0,0.0,0.9342,0.8049
1,46.9,3.1,0.9975,1.0,4.443,0.0,0.0,0.9293,0.8756
2,37.2,3.7,0.9972,1.0,4.916,0.0,0.0,0.9698,0.9099
3,35,2.9,0.9946,1.0,4.352,0.0,0.0,0.9335,0.8896
4,42,10.5,0.9963,1.0,5.096,0.0,0.0,0.9875,0.8874
5,35.1,2.2,0.9972,1.0,4.197,0.0,0.0,0.9217,0.8954
6,30.7,8.6,0.9969,1.0,5.027,0.0,0.0,0.9613,0.9127
7,19.2,2.6,0.9982,1.0,4.288,0.0,0.0,0.9084,0.8572
8,46.8,9.6,0.999,1.0,5.188,0.0,0.0,0.9627,0.9011
9,31.1,2,0.9992,1.0,4.375,0.0,0.0,0.8325,0.7619
10,36.5,2.3,0.9997,1.0,4.882,0.0,0.0,0.9042,0.8796
11,49.5,2.5,0.9988,1.0,4.014,0.0,0.0,0.7896,0.7063
