Qubit,T1,T2,gate_fidelity,preparation_fidelity,Readout_frequency,work_frequency,gate_duration,q0,q1
0,43.7,11.1,0.9845,1.0,6.663,5.456,0.0,0.989,0.927
1,52.9,2.2,0.9968,1.0,6.646,4.424,0.0,0.985,0.909
2,21.6,4.3,0.9921,1.0,6.627,5.606,0.0,0.988,0.923
3,39.7,3.7,0.9903,1.0,6.608,4.327,0.0,0.956,0.915
4,14.8,4.6,0.9969,1.0,6.593,5.473,0.0,0.974,0.831
5,32.0,1.4,0.9914,1.0,6.57,4.412,0.0,0.968,0.871
6,28.8,5.2,0.9807,1.0,6.554,5.392,0.0,0.98,0.907
7,26.0,1.4,0.9981,1.0,6.531,4.319,0.0,0.964,0.919
8,24.1,3.0,0.9994,1.0,6.51,5.49,0.0,0.985,0.936
9,24.7,1.3,0.999,1.0,6.49,4.442,0.0,0.968,0.912
